#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1,Mohammed Al-Rubaie Portero,14/08/1997 (25),"1,90m",derecho,6,-,21/03/2019,1200000
-,Mohammed Al-Owais Portero,10/10/1991 (31),"1,85m",izquierdo,27,-,01/09/2015,900000
-,Fawaz Al-Qarni Portero,02/04/1992 (31),"1,85m",derecho,9,-,09/12/2012,350000
-,Nawaf Al-Aqidi Portero,10/05/2000 (23),"1,88m",,-,-,-,50000
-,Abdulelah Al-Amri Defensa central,15/01/1997 (26),"1,83m",derecho,5,1,-,1000000
-,Abdullah Madu Defensa central,15/07/1993 (29),"1,86m",izquierdo,-,-,-,900000
12,Hassan Tambakti Defensa central,09/02/1999 (24),"1,82m",derecho,11,-,10/08/2019,600000
-,Ali Al-Boleahi Defensa central,21/11/1989 (33),"1,78m",izquierdo,21,-,-,400000
-,Yasser Al-Shahrani Lateral izquierdo,25/05/1992 (31),"1,71m",derecho,61,2,-,2000000
-,Ahmed Bamsaud Lateral izquierdo,22/11/1995 (27),"1,69m",izquierdo,-,-,-,600000
-,Nasser Al-Dawsari Lateral izquierdo,19/12/1998 (24),"1,78m",izquierdo,2,-,-,350000
-,Sultan Al-Ghannam Lateral derecho,06/05/1994 (29),"1,73m",derecho,15,-,-,3500000
-,Saud Abdulhamid Lateral derecho,18/07/1999 (23),"1,78m",derecho,8,-,05/09/2019,1200000
-,Ali Al-Hassan Pivote,04/03/1997 (26),"1,76m",derecho,2,1,-,300000
-,Awad Al-Nashri Pivote,15/03/2002 (21),"1,75m",derecho,-,-,-,75000
-,Riad Sharahili Pivote,28/04/1993 (30),"1,85m",derecho,-,-,-,25000
-,Mohamed Kanno Mediocentro,22/09/1994 (28),"1,92m",derecho,22,1,-,1800000
-,Sami Al-Najei Mediocentro ofensivo,07/02/1997 (26),"1,81m",izquierdo,7,-,14/01/2017,900000
-,Nawaf Al-Abed Mediocentro ofensivo,26/01/1990 (33),"1,70m",izquierdo,43,8,-,350000
-,Salem Al-Dawsari Extremo izquierdo,19/08/1991 (31),"1,71m",derecho,53,14,29/02/2012,2800000
-,Hattan Bahebri Extremo derecho,16/07/1992 (30),"1,70m",derecho,8,-,-,900000
-,Fahad Al-Muwallad Extremo derecho,14/09/1994 (28),"1,67m",derecho,62,17,-,-
-,Firas Al-Buraikan Delantero centro,14/05/2000 (23),"1,81m",izquierdo,12,4,10/10/2019,1200000
-,Haitham Asiri Delantero centro,01/07/2001 (21),"1,73m",derecho,3,-,01/12/2021,600000
-,Haroune Camara Delantero centro,01/01/1998 (25),"1,88m",derecho,3,-,10/09/2018,400000
