#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
23.0,Emiliano Martínez Portero,02/09/1992 (30),"1,95m",derecho,18.0,-,04/06/2021,28000000
12.0,Gerónimo Rulli Portero,20/05/1992 (31),"1,89m",derecho,4.0,-,08/09/2018,6000000
1.0,Franco Armani Portero,16/10/1986 (36),"1,89m",derecho,18.0,-,26/06/2018,3200000
13.0,Cristian Romero Defensa central,27/04/1998 (25),"1,85m",derecho,12.0,1,04/06/2021,55000000
2.0,Lisandro Martínez Defensa central,18/01/1998 (25),"1,75m",izquierdo,9.0,-,22/03/2019,50000000
19.0,Facundo Medina Defensa central,28/05/1999 (24),"1,84m",izquierdo,2.0,-,13/10/2020,13000000
13.0,Nehuén Pérez Defensa central,24/06/2000 (23),"1,84m",derecho,1.0,-,24/09/2022,6000000
6.0,Germán Pezzella Defensa central,27/06/1991 (32),"1,87m",derecho,31.0,2,11/11/2017,5000000
19.0,Nicolás Otamendi Defensa central,12/02/1988 (35),"1,83m",derecho,92.0,4,20/05/2009,3500000
3.0,Nicolás Tagliafico Lateral izquierdo,31/08/1992 (30),"1,72m",izquierdo,42.0,-,09/06/2017,11000000
21.0,Nahuel Molina Lateral derecho,06/04/1998 (25),"1,75m",derecho,18.0,-,03/06/2021,20000000
4.0,Gonzalo Montiel Lateral derecho,01/01/1997 (26),"1,76m",derecho,18.0,-,22/03/2019,14000000
18.0,Guido Rodríguez Pivote,12/04/1994 (29),"1,85m",derecho,25.0,1,09/06/2017,25000000
5.0,Leandro Paredes Pivote,29/06/1994 (29),"1,80m",derecho,45.0,4,13/06/2017,17000000
7.0,Rodrigo de Paul Mediocentro,24/05/1994 (29),"1,80m",derecho,43.0,2,11/10/2018,35000000
15.0,Alexis Mac Allister Mediocentro,24/12/1998 (24),"1,74m",derecho,7.0,-,06/09/2019,25000000
20.0,Giovani Lo Celso Mediocentro,09/04/1996 (27),"1,77m",izquierdo,41.0,2,11/11/2017,22000000
14.0,Enzo Fernández Mediocentro,17/01/2001 (22),"1,78m",derecho,2.0,-,24/09/2022,20000000
8.0,Thiago Almada Mediocentro ofensivo,26/04/2001 (22),"1,71m",derecho,1.0,-,24/09/2022,15000000
17.0,Papu Gómez Extremo izquierdo,15/02/1988 (35),"1,67m",derecho,15.0,3,13/06/2017,6000000
10.0,Lionel Messi Extremo derecho,24/06/1987 (36),"1,70m",izquierdo,164.0,90,17/08/2005,50000000
16.0,Ángel Correa Extremo derecho,09/03/1995 (28),"1,71m",derecho,22.0,3,05/09/2015,40000000
11.0,Ángel Di María Extremo derecho,14/02/1988 (35),"1,80m",izquierdo,123.0,25,06/09/2008,12000000
17.0,Joaquín Correa Mediapunta,13/08/1994 (28),"1,88m",derecho,18.0,3,09/06/2017,23000000
22.0,Lautaro Martínez Delantero centro,22/08/1997 (25),"1,74m",derecho,40.0,21,27/03/2018,75000000
9.0,Julián Álvarez Delantero centro,31/01/2000 (23),"1,70m",derecho,11.0,2,04/06/2021,28000000
