#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1,Mathew Ryan Portero,08/04/1992 (31),"1,84m",derecho,75,-,05/12/2012,5000000
18,Mitchell Langerak Portero,22/08/1988 (34),"1,93m",derecho,8,-,11/10/2013,800000
12,Andrew Redmayne Portero,13/01/1989 (34),"1,94m",,3,-,07/06/2019,700000
2,Milos Degenek Defensa central,28/04/1994 (29),"1,87m",derecho,38,1,27/05/2016,2500000
20,Trent Sainsbury Defensa central,05/01/1992 (31),"1,84m",derecho,61,4,04/09/2014,750000
26,Harrison Delbridge Defensa central,15/03/1992 (31),"1,93m",,1,-,25/09/2022,550000
8,Thomas Deng Defensa central,20/03/1997 (26),"1,82m",derecho,2,-,15/10/2018,400000
16,Aziz Behich Lateral izquierdo,16/12/1990 (32),"1,70m",izquierdo,53,2,14/11/2012,775000
4,Joel King Lateral izquierdo,30/10/2000 (22),"1,80m",izquierdo,3,-,27/01/2022,500000
3,Nathaniel Atkinson Lateral derecho,13/06/1999 (24),"1,81m",derecho,5,-,29/03/2022,1000000
5,Fran Karacic Lateral derecho,12/05/1996 (27),"1,85m",derecho,10,1,03/06/2021,1000000
-,Ryan Strain Lateral derecho,02/04/1997 (26),"1,81m",,-,-,-,300000
23,Connor Metcalfe Pivote,05/11/1999 (23),"1,83m",izquierdo,5,-,07/06/2021,800000
-,Keanu Baccus Pivote,07/06/1998 (25),"1,78m",derecho,-,-,-,600000
24,Cammy Devlin Pivote,07/06/1998 (25),"1,70m",derecho,1,-,25/09/2022,600000
13,Aaron Mooy Mediocentro,15/09/1990 (32),"1,74m",derecho,53,7,07/12/2012,5000000
14,Riley McGree Mediocentro,02/11/1998 (24),"1,78m",izquierdo,10,1,03/06/2021,2000000
22,Jackson Irvine Mediocentro,07/03/1993 (30),"1,89m",derecho,49,7,15/10/2013,2000000
-,Tyrese Francois Mediocentro,16/07/2000 (22),"1,73m",izquierdo,-,-,-,500000
10,Ajdin Hrustic Mediocentro ofensivo,05/07/1996 (26),"1,83m",izquierdo,20,3,13/06/2017,2000000
17,Denis Genreau Mediocentro ofensivo,21/05/1999 (24),"1,75m",derecho,3,-,07/06/2021,1200000
11,Awer Mabil Extremo izquierdo,15/09/1995 (27),"1,79m",derecho,29,8,15/10/2018,1800000
7,Mathew Leckie Extremo izquierdo,04/02/1991 (32),"1,81m",derecho,72,13,14/11/2012,1000000
6,Martin Boyle Extremo derecho,25/04/1993 (30),"1,72m",derecho,19,5,17/11/2018,2500000
25,Marco Tilio Extremo derecho,23/08/2001 (21),"1,70m",izquierdo,4,-,27/01/2022,900000
9,Jamie Maclaren Delantero centro,29/07/1993 (29),"1,79m",derecho,26,8,27/05/2016,1500000
19,Adam Taggart Delantero centro,02/06/1993 (30),"1,77m",derecho,17,6,03/12/2012,800000
-,Jason Cummings Delantero centro,01/08/1995 (27),"1,78m",izquierdo,-,-,-,750000
15,Mitchell Duke Delantero centro,18/01/1991 (32),"1,86m",derecho,20,7,20/07/2013,700000
21,Garang Kuol Delantero centro,15/09/2004 (18),"1,75m",derecho,1,-,25/09/2022,100000
