#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1,Thibaut Courtois Portero,11/05/1992 (31),"2,00m",izquierdo,96.0,-,15/11/2011,60000000
13,Koen Casteels Portero,25/06/1992 (31),"1,97m",izquierdo,4.0,-,08/09/2020,11000000
-,Matz Sels Portero,26/02/1992 (31),"1,88m",derecho,2.0,-,03/06/2021,8000000
12,Simon Mignolet Portero,06/03/1988 (35),"1,93m",derecho,35.0,-,25/03/2011,3500000
3,Arthur Theate Defensa central,25/05/2000 (23),"1,85m",izquierdo,3.0,-,16/11/2021,18000000
-,Wout Faes Defensa central,03/04/1998 (25),"1,87m",derecho,1.0,-,08/06/2022,15000000
-,Brandon Mechele Defensa central,28/01/1993 (30),"1,90m",derecho,3.0,-,13/10/2019,6000000
2,Toby Alderweireld Defensa central,02/03/1989 (34),"1,87m",derecho,123.0,5,29/05/2009,5000000
4,Zeno Debast Defensa central,24/10/2003 (19),"1,89m",derecho,2.0,-,22/09/2022,4000000
-,Dedryck Boyata Defensa central,28/11/1990 (32),"1,88m",derecho,31.0,-,12/10/2010,3500000
5,Jan Vertonghen Defensa central,24/04/1987 (36),"1,89m",izquierdo,141.0,9,02/06/2007,2000000
21,Timothy Castagne Lateral derecho,05/12/1995 (27),"1,85m",derecho,25.0,2,07/09/2018,28000000
15,Thomas Meunier Lateral derecho,12/09/1991 (31),"1,91m",derecho,58.0,8,14/11/2013,6500000
-,Thomas Foket Lateral derecho,25/09/1994 (28),"1,77m",derecho,9.0,1,09/11/2016,5000000
18,Amadou Onana Pivote,16/08/2001 (21),"1,95m",derecho,2.0,-,03/06/2022,30000000
-,Leander Dendoncker Pivote,15/04/1995 (28),"1,88m",derecho,29.0,1,07/06/2015,28000000
6,Axel Witsel Pivote,12/01/1989 (34),"1,86m",derecho,126.0,12,26/03/2008,5000000
8,Youri Tielemans Mediocentro,07/05/1997 (26),"1,76m",derecho,54.0,5,09/11/2016,45000000
-,Dennis Praet Mediocentro,14/05/1994 (29),"1,81m",derecho,15.0,2,12/11/2014,11000000
7,Kevin De Bruyne Mediocentro ofensivo,28/06/1991 (32),"1,81m",derecho,93.0,25,11/08/2010,85000000
14,Charles De Ketelaere Mediocentro ofensivo,10/03/2001 (22),"1,92m",izquierdo,10.0,1,11/11/2020,30000000
20,Hans Vanaken Mediocentro ofensivo,24/08/1992 (30),"1,95m",derecho,22.0,5,07/09/2018,16000000
11,Yannick Carrasco Extremo izquierdo,04/09/1993 (29),"1,81m",derecho,59.0,8,28/03/2015,40000000
17,Leandro Trossard Extremo izquierdo,04/12/1994 (28),"1,72m",derecho,21.0,5,05/09/2020,25000000
10,Eden Hazard Extremo izquierdo,07/01/1991 (32),"1,75m",derecho,122.0,33,19/11/2008,12000000
16,Thorgan Hazard Extremo izquierdo,29/03/1993 (30),"1,75m",derecho,45.0,9,29/05/2013,12000000
22,Alexis Saelemaekers Extremo derecho,27/06/1999 (24),"1,80m",derecho,9.0,1,08/10/2020,17000000
-,Adnan Januzaj Extremo derecho,05/02/1995 (28),"1,86m",izquierdo,15.0,1,07/06/2014,9000000
19,Dodi Lukébakio Extremo derecho,24/09/1997 (25),"1,87m",izquierdo,5.0,-,11/11/2020,7500000
-,Romelu Lukaku Delantero centro,13/05/1993 (30),"1,91m",izquierdo,102.0,68,03/03/2010,70000000
9,Loïs Openda Delantero centro,16/02/2000 (23),"1,77m",derecho,4.0,1,08/06/2022,12000000
23,Michy Batshuayi Delantero centro,02/10/1993 (29),"1,85m",derecho,47.0,26,28/03/2015,10000000
-,Dries Mertens Delantero centro,06/05/1987 (36),"1,69m",derecho,106.0,21,09/02/2011,3400000
