#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1.0,Alisson Portero,02/10/1992 (30),"1,91m",derecho,56.0,-,14/10/2015,50000000
23.0,Ederson Portero,17/08/1993 (29),"1,88m",izquierdo,18.0,-,11/10/2017,45000000
12.0,Weverton Portero,13/12/1987 (35),"1,89m",derecho,11.0,-,26/01/2017,4000000
4.0,Marquinhos Defensa central,14/05/1994 (29),"1,83m",derecho,70.0,5,17/11/2013,70000000
14.0,Éder Militão Defensa central,18/01/1998 (25),"1,86m",derecho,23.0,1,12/09/2018,60000000
22.0,Bremer Defensa central,18/03/1997 (26),"1,88m",derecho,1.0,-,23/09/2022,40000000
13.0,Roger Ibañez Defensa central,23/11/1998 (24),"1,86m",derecho,1.0,-,27/09/2022,23000000
3.0,Thiago Silva Defensa central,22/09/1984 (38),"1,81m",derecho,108.0,7,12/10/2008,2500000
16.0,Renan Lodi Lateral izquierdo,08/04/1998 (25),"1,73m",izquierdo,15.0,-,10/10/2019,25000000
6.0,Alex Telles Lateral izquierdo,15/12/1992 (30),"1,81m",izquierdo,7.0,-,23/03/2019,18000000
2.0,Danilo Lateral derecho,15/07/1991 (31),"1,84m",derecho,45.0,1,15/09/2011,13000000
15.0,Fabinho Pivote,23/10/1993 (29),"1,88m",derecho,28.0,-,07/06/2015,60000000
5.0,Casemiro Pivote,23/02/1992 (31),"1,85m",derecho,64.0,5,15/09/2011,50000000
17.0,Bruno Guimarães Pivote,16/11/1997 (25),"1,82m",derecho,8.0,1,18/11/2020,50000000
8.0,Fred Mediocentro,05/03/1993 (30),"1,69m",izquierdo,27.0,-,12/11/2014,20000000
7.0,Lucas Paquetá Mediocentro ofensivo,27/08/1997 (25),"1,80m",izquierdo,34.0,7,08/09/2018,45000000
11.0,Éverton Ribeiro Mediocentro ofensivo,10/04/1989 (34),"1,74m",izquierdo,22.0,3,06/09/2014,4500000
20.0,Vinicius Junior Extremo izquierdo,12/07/2000 (22),"1,76m",derecho,15.0,1,11/09/2019,120000000
10.0,Neymar Extremo izquierdo,05/02/1992 (31),"1,75m",derecho,120.0,74,10/08/2010,75000000
18.0,Antony Extremo derecho,24/02/2000 (23),"1,72m",izquierdo,10.0,2,08/10/2021,75000000
26.0,Rodrygo Extremo derecho,09/01/2001 (22),"1,74m",derecho,6.0,1,15/11/2019,70000000
19.0,Raphinha Extremo derecho,14/12/1996 (26),"1,76m",izquierdo,10.0,3,08/10/2021,50000000
9.0,Richarlison Delantero centro,10/05/1997 (26),"1,84m",derecho,37.0,16,08/09/2018,50000000
24.0,Roberto Firmino Delantero centro,02/10/1991 (31),"1,81m",derecho,55.0,17,12/11/2014,32000000
21.0,Matheus Cunha Delantero centro,27/05/1999 (24),"1,84m",derecho,8.0,-,03/09/2021,30000000
25.0,Pedro Delantero centro,20/06/1997 (26),"1,85m",derecho,1.0,-,14/11/2020,12000000
