#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
23,André Onana Portero,02/04/1996 (27),"1,90m",derecho,31,-,06/09/2016,12000000
16,Devis Epassy Portero,02/02/1993 (30),"1,89m",derecho,5,-,08/06/2021,600000
1,Simon Ngapandouetnbu Portero,12/04/2003 (20),"1,86m",derecho,-,-,-,400000
4,Christopher Wooh Defensa central,18/09/2001 (21),"1,91m",derecho,1,-,09/06/2022,6000000
21,Jean-Charles Castelletto Defensa central,26/01/1995 (28),"1,86m",ambidiestro,12,-,11/11/2017,5000000
3,Nicolas N'Koulou Defensa central,27/03/1990 (33),"1,84m",derecho,73,1,19/11/2008,2500000
5,Oumar Gonzalez Defensa central,25/02/1998 (25),"1,86m",derecho,-,-,-,2500000
25,Enzo Tchato Defensa central,23/11/2002 (20),"1,82m",derecho,1,-,23/09/2022,250000
-,Enzo Ebosse Lateral izquierdo,11/03/1999 (24),"1,85m",izquierdo,-,-,-,4000000
11,Nouhou Lateral izquierdo,23/06/1997 (26),"1,78m",,16,-,11/11/2017,3000000
2,Darlin Yongwa Lateral izquierdo,22/09/2000 (22),"1,77m",izquierdo,1,-,23/09/2022,1200000
17,Olivier Mbaizo Lateral derecho,15/08/1997 (25),"1,78m",,11,-,06/09/2016,1500000
19,Collins Fai Lateral derecho,13/08/1992 (30),"1,65m",derecho,50,-,11/10/2015,900000
26,Jean Onana Pivote,08/01/2000 (23),"1,89m",derecho,10,-,09/10/2020,5000000
18,Martin Hongla Pivote,16/03/1998 (25),"1,81m",derecho,17,-,16/11/2020,4000000
20,Samuel Oum Gouet Pivote,14/12/1997 (25),"1,85m",derecho,21,-,06/01/2016,1800000
24,Gaël Ondoua Pivote,04/11/1995 (27),"1,85m",izquierdo,4,-,25/03/2022,1000000
14,Georges Mandjeck Pivote,09/12/1988 (34),"1,85m",derecho,48,-,14/10/2009,200000
8,Olivier Ntcham Mediocentro,09/02/1996 (27),"1,80m",derecho,2,-,23/09/2022,2800000
15,Pierre Kunde Mediocentro,26/07/1995 (27),"1,80m",derecho,30,1,27/05/2018,2000000
7,Georges-Kevin N'Koudou Extremo izquierdo,13/02/1995 (28),"1,72m",derecho,1,-,23/09/2022,5500000
6,Nicolas Moumi Ngamaleu Extremo izquierdo,09/07/1994 (28),"1,81m",derecho,41,4,23/12/2015,4700000
22,Bryan Mbeumo Extremo derecho,07/08/1999 (23),"1,71m",izquierdo,2,-,23/09/2022,25000000
10,Vincent Aboubakar Delantero centro,22/01/1992 (31),"1,84m",derecho,88,33,29/05/2010,7000000
13,Jean-Pierre Nsame Delantero centro,01/05/1993 (30),"1,88m",derecho,4,-,04/09/2017,4000000
9,Léandre Tawamba Delantero centro,20/12/1989 (33),"1,89m",derecho,7,-,25/03/2018,2000000
