#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
16,Maxime Crépeau Portero,11/05/1994 (29),"1,85m",derecho,15,-,06/02/2016,2500000
1,Dayne St. Clair Portero,09/05/1997 (26),"1,91m",izquierdo,1,-,06/06/2021,1500000
18,Milan Borjan Portero,23/10/1987 (35),"1,96m",derecho,65,-,29/03/2011,1500000
4,Kamal Miller Defensa central,16/05/1997 (26),"1,83m",izquierdo,23,-,24/06/2019,3000000
24,Joel Waterman Defensa central,24/01/1996 (27),"1,88m",,-,-,-,1500000
13,Derek Cornelius Defensa central,25/11/1997 (25),"1,87m",ambidiestro,14,-,09/09/2018,800000
-,Doneil Henry Defensa central,20/04/1993 (30),"1,88m",derecho,42,1,16/08/2012,750000
23,Scott Kennedy Defensa central,31/03/1997 (26),"1,93m",izquierdo,8,-,09/06/2021,600000
5,Steven Vitória Defensa central,11/01/1987 (36),"1,95m",derecho,30,2,06/02/2016,100000
19,Alphonso Davies Lateral izquierdo,02/11/2000 (22),"1,85m",izquierdo,32,12,14/06/2017,70000000
3,Sam Adekugbe Lateral izquierdo,16/01/1995 (28),"1,76m",izquierdo,27,1,09/09/2015,2000000
-,Raheem Edwards Lateral izquierdo,17/07/1995 (27),"1,72m",izquierdo,4,-,14/06/2017,600000
2,Alistair Johnston Lateral derecho,08/10/1998 (24),"1,80m",,24,1,26/03/2021,4000000
22,Richie Laryea Lateral derecho,07/01/1995 (28),"1,75m",derecho,28,1,08/09/2019,2500000
7,Stephen Eustaquio Pivote,21/12/1996 (26),"1,77m",derecho,22,3,16/11/2019,5000000
6,Samuel Piette Pivote,12/11/1994 (28),"1,71m",derecho,61,-,04/06/2012,2500000
-,Atiba Hutchinson Pivote,08/02/1983 (40),"1,87m",derecho,97,9,18/01/2003,200000
8,Ismaël Koné Mediocentro,16/06/2002 (21),"1,88m",,2,-,25/03/2022,4500000
14,Mark-Anthony Kaye Mediocentro,02/12/1994 (28),"1,85m",izquierdo,34,2,14/06/2017,4000000
21,Liam Millar Extremo izquierdo,27/09/1999 (23),"1,81m",derecho,15,-,24/03/2018,3000000
26,Luca Koleosho Extremo izquierdo,15/09/2004 (18),"1,75m",derecho,-,-,-,1000000
10,Junior Hoilett Extremo izquierdo,05/06/1990 (33),"1,74m",derecho,45,14,13/10/2015,800000
-,Tajon Buchanan Extremo derecho,08/02/1999 (24),"1,83m",derecho,22,4,06/06/2021,9500000
25,Theo Corbeanu Extremo derecho,17/05/2002 (21),"1,90m",izquierdo,6,2,26/03/2021,1500000
20,Jonathan David Delantero centro,14/01/2000 (23),"1,77m",ambidiestro,30,20,09/09/2018,45000000
17,Cyle Larin Delantero centro,17/04/1995 (28),"1,88m",derecho,50,24,23/05/2014,7500000
12,Iké Ugbo Delantero centro,21/09/1998 (24),"1,84m",derecho,4,-,13/11/2021,4500000
9,Lucas Cavallini Delantero centro,28/12/1992 (30),"1,82m",izquierdo,31,16,16/08/2012,2500000
15,Charles-Andreas Brym Delantero centro,08/08/1998 (24),"1,85m",izquierdo,6,1,08/01/2020,325000
