#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
12.0,Bum-keun Song Portero,15/10/1997 (25),"1,94m",derecho,1,-,24/07/2022,950000
1.0,Seung-gyu Kim Portero,30/09/1990 (32),"1,87m",derecho,66,-,14/08/2013,750000
21.0,Dong-jun Kim Portero,19/12/1994 (28),"1,89m",,1,-,20/07/2022,550000
4.0,Min-jae Kim Defensa central,15/11/1996 (26),"1,90m",derecho,44,3,31/08/2017,25000000
20.0,Kyung-won Kwon Defensa central,31/01/1992 (31),"1,89m",izquierdo,27,2,07/10/2017,750000
4.0,Yu-min Cho Defensa central,17/11/1996 (26),"1,84m",derecho,3,-,20/07/2022,625000
19.0,Young-gwon Kim Defensa central,27/02/1990 (33),"1,86m",izquierdo,95,6,11/08/2010,600000
3.0,Jin-su Kim Lateral izquierdo,13/06/1992 (31),"1,77m",izquierdo,61,2,20/07/2013,600000
14.0,Chul Hong Lateral izquierdo,17/09/1990 (32),"1,76m",izquierdo,45,1,09/02/2011,525000
2.0,Tae-hwan Kim Lateral derecho,24/07/1989 (33),"1,80m",derecho,18,-,26/01/2014,950000
23.0,Moon-hwan Kim Lateral derecho,01/08/1995 (27),"1,73m",derecho,21,-,07/09/2018,950000
24.0,Jong-gyu Yoon Lateral derecho,20/03/1998 (25),"1,73m",derecho,3,-,17/11/2020,600000
13.0,Jun-ho Son Pivote,12/05/1992 (31),"1,78m",derecho,14,-,27/01/2018,3200000
5.0,Woo-young Jung Pivote,14/12/1989 (33),"1,86m",derecho,65,3,11/06/2015,700000
6.0,In-beom Hwang Mediocentro,20/09/1996 (26),"1,77m",ambidiestro,37,4,07/09/2018,3000000
8.0,Seung-ho Paik Mediocentro,17/03/1997 (26),"1,82m",,13,2,11/06/2019,925000
26.0,Kang-in Lee Mediocentro ofensivo,19/02/2001 (22),"1,73m",izquierdo,6,-,05/09/2019,9000000
10.0,Jae-sung Lee Mediocentro ofensivo,10/08/1992 (30),"1,80m",izquierdo,64,9,27/03/2015,3000000
7.0,Heung-min Son Extremo izquierdo,08/07/1992 (30),"1,84m",ambidiestro,104,35,30/12/2010,75000000
17.0,Sang-ho Na Extremo izquierdo,12/08/1996 (26),"1,73m",derecho,23,2,17/11/2018,900000
22.0,Chang-hoon Kwon Extremo derecho,30/06/1994 (29),"1,73m",izquierdo,41,12,02/08/2015,1500000
9.0,Young-wook Cho Extremo derecho,05/02/1999 (24),"1,78m",derecho,4,1,21/01/2022,700000
18.0,Hyun-jun Yang Extremo derecho,25/05/2002 (21),"1,79m",,-,-,-,275000
25.0,Woo-yeong Jeong Mediapunta,20/09/1999 (23),"1,79m",derecho,9,2,25/03/2021,5500000
11.0,Hee-chan Hwang Delantero centro,26/01/1996 (27),"1,77m",derecho,49,9,01/09/2016,16000000
16.0,Ui-jo Hwang Delantero centro,28/08/1992 (30),"1,85m",ambidiestro,49,16,03/09/2015,7000000
