#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1,Dominik Livakovic Portero,09/01/1995 (28),"1,88m",derecho,33,-,11/01/2017,8500000
23,Ivica Ivusic Portero,01/02/1995 (28),"1,95m",derecho,5,-,04/09/2021,4500000
-,Nediljko Labrovic Portero,10/10/1999 (23),"1,96m",derecho,-,-,-,2000000
12,Lovre Kalinic Portero,03/04/1990 (33),"2,01m",izquierdo,19,-,12/11/2014,2000000
20,Josko Gvardiol Defensa central,23/01/2002 (21),"1,85m",izquierdo,12,1,06/06/2021,60000000
-,Duje Caleta-Car Defensa central,17/09/1996 (26),"1,92m",derecho,23,1,03/06/2018,16000000
5,Josip Sutalo Defensa central,28/02/2000 (23),"1,88m",derecho,3,-,10/06/2022,8000000
-,Marin Pongracic Defensa central,11/09/1997 (25),"1,93m",derecho,5,-,11/11/2020,6000000
5,Martin Erlic Defensa central,24/01/1998 (25),"1,93m",derecho,3,-,06/06/2022,5500000
6,Dejan Lovren Defensa central,05/07/1989 (33),"1,88m",derecho,71,5,08/10/2009,4500000
21,Domagoj Vida Defensa central,29/04/1989 (34),"1,84m",derecho,99,4,23/05/2010,1900000
19,Borna Sosa Lateral izquierdo,21/01/1998 (25),"1,87m",izquierdo,8,1,01/09/2021,20000000
3,Borna Barisic Lateral izquierdo,10/11/1992 (30),"1,86m",izquierdo,27,1,11/01/2017,6000000
2,Josip Stanisic Lateral derecho,02/04/2000 (23),"1,87m",ambidiestro,6,-,08/10/2021,8000000
22,Josip Juranovic Lateral derecho,16/08/1995 (27),"1,73m",derecho,21,-,14/01/2017,7000000
-,Sime Vrsaljko Lateral derecho,10/01/1992 (31),"1,81m",derecho,52,-,09/02/2011,5000000
11,Marcelo Brozovic Pivote,16/11/1992 (30),"1,81m",ambidiestro,76,7,06/06/2014,40000000
-,Kristijan Jakic Pivote,14/05/1997 (26),"1,81m",derecho,4,-,08/10/2021,9000000
8,Mateo Kovacic Mediocentro,06/05/1994 (29),"1,76m",derecho,83,3,22/03/2013,42000000
14,Luka Sucic Mediocentro,08/09/2002 (20),"1,85m",izquierdo,3,-,11/10/2021,20000000
10,Luka Modric Mediocentro,09/09/1985 (37),"1,72m",ambidiestro,154,23,01/03/2006,10000000
4,Ivan Perisic Interior izquierdo,02/02/1989 (34),"1,86m",ambidiestro,115,32,26/03/2011,10000000
15,Mario Pasalic Mediocentro ofensivo,09/02/1995 (28),"1,88m",derecho,42,7,04/09/2014,28000000
13,Nikola Vlasic Mediocentro ofensivo,04/10/1997 (25),"1,78m",derecho,41,7,28/05/2017,22000000
7,Lovro Majer Mediocentro ofensivo,17/01/1998 (25),"1,78m",izquierdo,10,3,28/05/2017,20000000
-,Luka Ivanusec Mediocentro ofensivo,26/11/1998 (24),"1,75m",derecho,11,1,11/01/2017,12500000
-,Josip Brekalo Extremo izquierdo,23/06/1998 (25),"1,75m",derecho,33,4,15/11/2018,10000000
18,Mislav Orsic Extremo izquierdo,29/12/1992 (30),"1,79m",ambidiestro,20,1,09/09/2019,10000000
9,Andrej Kramaric Delantero centro,19/06/1991 (32),"1,77m",derecho,73,19,04/09/2014,12000000
14,Marko Livaja Delantero centro,26/08/1993 (29),"1,84m",derecho,14,3,06/09/2018,7500000
16,Bruno Petkovic Delantero centro,16/09/1994 (28),"1,93m",derecho,22,6,21/03/2019,6000000
17,Ante Budimir Delantero centro,22/07/1991 (31),"1,90m",izquierdo,15,1,07/10/2020,6000000
