#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
12.0,Moisés Ramírez Portero,09/09/2000 (22),"1,85m",derecho,2,-,08/10/2021,800000
1.0,Hernán Galíndez Portero,30/03/1987 (36),"1,88m",derecho,12,-,23/06/2021,600000
22.0,Alexander Domínguez Portero,05/06/1987 (36),"1,96m",derecho,67,-,26/03/2011,350000
3.0,Piero Hincapié Defensa central,09/01/2002 (21),"1,83m",izquierdo,21,1,14/06/2021,22000000
2.0,Jackson Porozo Defensa central,04/08/2000 (22),"1,92m",derecho,4,-,11/09/2019,3000000
24.0,William Pacho Defensa central,16/10/2001 (21),"1,86m",izquierdo,-,-,-,3000000
14.0,Xavier Arreaga Defensa central,28/09/1994 (28),"1,83m",,17,1,21/11/2018,2000000
4.0,Fernando León Defensa central,11/04/1993 (30),"1,85m",derecho,7,-,11/10/2014,1500000
7.0,Pervis Estupiñán Lateral izquierdo,21/01/1998 (25),"1,75m",izquierdo,28,3,13/10/2019,20000000
18.0,Diego Palacios Lateral izquierdo,12/07/1999 (23),"1,69m",izquierdo,11,-,12/10/2018,3500000
6.0,Byron Castillo Lateral derecho,10/11/1998 (24),"1,67m",derecho,12,-,02/09/2021,2800000
17.0,Angelo Preciado Lateral derecho,18/02/1998 (25),"1,73m",derecho,24,-,12/10/2018,2500000
8.0,Carlos Gruezo Pivote,19/04/1995 (28),"1,71m",derecho,46,1,17/05/2014,3200000
20.0,Jhegson Méndez Pivote,26/04/1997 (26),"1,71m",derecho,31,-,12/09/2018,1500000
21.0,Patrickson Delgado Pivote,17/10/2003 (19),-,derecho,-,-,-,300000
23.0,Moisés Caicedo Mediocentro,02/11/2001 (21),"1,78m",derecho,25,2,09/10/2020,25000000
5.0,José Cifuentes Mediocentro,12/03/1999 (24),"1,75m",derecho,10,-,06/09/2019,10000000
21.0,Alan Franco Mediocentro,21/08/1998 (24),"1,74m",derecho,24,1,12/09/2018,2500000
25.0,Nilson Angulo Mediocentro ofensivo,19/06/2003 (20),"1,83m",derecho,3,-,28/10/2021,1500000
10.0,Romario Ibarra Extremo izquierdo,24/09/1994 (28),"1,76m",derecho,24,3,06/10/2017,1800000
19.0,Gonzalo Plata Extremo derecho,01/11/2000 (22),"1,78m",izquierdo,29,5,06/09/2019,6000000
15.0,Ángel Mena Extremo derecho,21/01/1988 (35),"1,68m",izquierdo,45,7,29/03/2015,1500000
26.0,Anthony Valencia Extremo derecho,21/07/2003 (19),"1,74m",izquierdo,-,-,-,1200000
11.0,Michael Estrada Delantero centro,07/04/1996 (27),"1,88m",derecho,35,8,23/02/2017,3000000
13.0,Enner Valencia Delantero centro,04/11/1989 (33),"1,77m",derecho,74,35,01/03/2012,3000000
9.0,Djorkaeff Reasco Delantero centro,18/01/1999 (24),"1,72m",derecho,3,-,28/10/2021,500000
