#,Jugadores,Posicion,Edad,Nacido,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €,Pais
23,Emiliano Martínez,Portero,30,02/09/1992,"1,95",derecho,18.0,-,04/06/2021,25000000,Argentina
12,Gerónimo Rulli,Portero,31,20/05/1992,"1,89",derecho,4.0,-,08/09/2018,10000000,Argentina
1,Franco Armani,Portero,36,16/10/1986,"1,89",derecho,18.0,-,26/06/2018,3200000,Argentina
13,Cristian Romero,Defensa central,25,27/04/1998,"1,85",derecho,12.0,1,04/06/2021,55000000,Argentina
16,Lisandro Martínez,Defensa central,25,18/01/1998,"1,75",izquierdo,9.0,-,22/03/2019,50000000,Argentina
-,Facundo Medina,Defensa central,24,28/05/1999,"1,84",izquierdo,2.0,-,13/10/2020,15000000,Argentina
-,Nehuén Pérez,Defensa central,23,24/06/2000,"1,84",derecho,1.0,-,24/09/2022,8000000,Argentina
6,Germán Pezzella,Defensa central,32,27/06/1991,"1,87",derecho,31.0,2,11/11/2017,5000000,Argentina
19,Nicolás Otamendi,Defensa central,35,12/02/1988,"1,83",derecho,92.0,4,20/05/2009,3000000,Argentina
3,Nicolás Tagliafico,Lateral izquierdo,30,31/08/1992,"1,72",izquierdo,42.0,-,09/06/2017,9000000,Argentina
26,Nahuel Molina,Lateral derecho,25,06/04/1998,"1,75",derecho,19.0,-,03/06/2021,18000000,Argentina
4,Gonzalo Montiel,Lateral derecho,26,01/01/1997,"1,76",derecho,18.0,-,22/03/2019,12000000,Argentina
18,Guido Rodríguez,Pivote,29,12/04/1994,"1,85",derecho,25.0,1,09/06/2017,28000000,Argentina
5,Leandro Paredes,Pivote,29,29/06/1994,"1,80",derecho,45.0,4,13/06/2017,15000000,Argentina
7,Rodrigo de Paul,Mediocentro,29,24/05/1994,"1,80",derecho,43.0,2,11/10/2018,35000000,Argentina
24,Enzo Fernández,Mediocentro,22,17/01/2001,"1,78",derecho,2.0,-,24/09/2022,35000000,Argentina
15,Alexis Mac Allister,Mediocentro,24,24/12/1998,"1,74",derecho,7.0,-,06/09/2019,32000000,Argentina
-,Giovani Lo Celso,Mediocentro,27,09/04/1996,"1,77",izquierdo,41.0,2,11/11/2017,22000000,Argentina
-,Thiago Almada,Mediocentro ofensivo,22,26/04/2001,"1,71",derecho,1.0,-,24/09/2022,15000000,Argentina
20,Papu Gómez,Extremo izquierdo,35,15/02/1988,"1,67",derecho,15.0,3,13/06/2017,4000000,Argentina
