#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1,Robert Sánchez Portero,18/11/1997 (25),"1,97m",derecho,1.0,-,05/09/2021,25000000
23,Unai Simón Portero,11/06/1997 (26),"1,90m",derecho,27.0,-,14/11/2020,25000000
13,David Raya Portero,15/09/1995 (27),"1,83m",derecho,1.0,-,26/03/2022,22000000
4,Pau Torres Defensa central,16/01/1997 (26),"1,91m",izquierdo,21.0,1,15/11/2019,50000000
-,Iñigo Martínez Defensa central,17/05/1991 (32),"1,82m",izquierdo,19.0,1,14/08/2013,20000000
3,Eric García Defensa central,09/01/2001 (22),"1,82m",derecho,18.0,-,06/09/2020,18000000
17,Diego Llorente Defensa central,16/08/1993 (29),"1,86m",derecho,10.0,-,29/05/2016,16000000
14,José Gayà Lateral izquierdo,25/05/1995 (28),"1,72m",izquierdo,18.0,3,11/09/2018,35000000
-,Marcos Alonso Lateral izquierdo,28/12/1990 (32),"1,89m",izquierdo,9.0,-,27/03/2018,12000000
18,Jordi Alba Lateral izquierdo,21/03/1989 (34),"1,70m",izquierdo,86.0,10,11/10/2011,9000000
20,Daniel Carvajal Lateral derecho,11/01/1992 (31),"1,73m",derecho,30.0,-,04/09/2014,18000000
2,César Azpilicueta Lateral derecho,28/08/1989 (33),"1,78m",derecho,41.0,1,06/02/2013,9000000
16,Rodri Pivote,22/06/1996 (27),"1,91m",derecho,34.0,1,23/03/2018,80000000
12,Hugo Guillamón Pivote,31/01/2000 (23),"1,78m",derecho,3.0,1,08/06/2021,25000000
5,Sergio Busquets Pivote,16/07/1988 (34),"1,89m",derecho,139.0,2,01/04/2009,9000000
21,Pedri Mediocentro,25/11/2002 (20),"1,74m",derecho,14.0,-,25/03/2021,90000000
9,Gavi Mediocentro,05/08/2004 (18),"1,73m",derecho,12.0,1,06/10/2021,70000000
6,Marcos Llorente Mediocentro,30/01/1995 (28),"1,84m",derecho,17.0,-,11/11/2020,40000000
19,Carlos Soler Mediocentro,02/01/1997 (26),"1,80m",derecho,11.0,3,02/09/2021,40000000
8,Koke Mediocentro,08/01/1992 (31),"1,76m",derecho,67.0,-,14/08/2013,20000000
-,Dani Olmo Mediocentro ofensivo,07/05/1998 (25),"1,79m",derecho,24.0,4,15/11/2019,40000000
-,Ansu Fati Extremo izquierdo,31/10/2002 (20),"1,78m",derecho,4.0,1,03/09/2020,60000000
11,Ferran Torres Extremo izquierdo,29/02/2000 (23),"1,84m",derecho,30.0,13,03/09/2020,40000000
15,Yéremy Pino Extremo derecho,20/10/2002 (20),"1,72m",derecho,6.0,1,06/10/2021,40000000
10,Marco Asensio Extremo derecho,21/01/1996 (27),"1,82m",izquierdo,30.0,1,29/05/2016,35000000
2,Nico Williams Extremo derecho,12/07/2002 (20),"1,81m",derecho,2.0,-,24/09/2022,22000000
22,Pablo Sarabia Extremo derecho,11/05/1992 (31),"1,74m",izquierdo,24.0,9,05/09/2019,22000000
7,Álvaro Morata Delantero centro,23/10/1992 (30),"1,89m",derecho,57.0,27,15/11/2014,25000000
3,Borja Iglesias Delantero centro,17/01/1993 (30),"1,87m",derecho,1.0,-,24/09/2022,20000000
-,Raúl de Tomás Delantero centro,17/10/1994 (28),"1,80m",derecho,4.0,-,11/11/2021,12000000
