#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1,Matt Turner Portero,24/06/1994 (29),"1,91m",derecho,18.0,-,01/02/2021,5000000
25,Sean Johnson Portero,31/05/1989 (34),"1,90m",derecho,10.0,-,22/01/2011,1500000
18,Ethan Horvath Portero,09/06/1995 (28),"1,95m",derecho,7.0,-,07/10/2016,1000000
-,Cameron Carter-Vickers Defensa central,31/12/1997 (25),"1,83m",derecho,10.0,-,14/11/2017,7000000
3,Walker Zimmerman Defensa central,19/05/1993 (30),"1,90m",derecho,31.0,3,04/02/2017,3500000
16,Mark McKenzie Defensa central,25/02/1999 (24),"1,84m",derecho,8.0,-,01/02/2020,3500000
5,Aaron Long Defensa central,12/10/1992 (30),"1,86m",derecho,26.0,3,17/10/2018,3000000
12,Erik Palmer-Brown Defensa central,24/04/1997 (26),"1,86m",derecho,4.0,-,29/05/2018,3000000
-,Antonee Robinson Lateral izquierdo,08/08/1997 (25),"1,83m",izquierdo,28.0,2,29/05/2018,8000000
-,George Bello Lateral izquierdo,22/01/2002 (21),"1,70m",izquierdo,7.0,-,31/01/2021,2000000
6,Sam Vines Lateral izquierdo,31/05/1999 (24),"1,78m",izquierdo,8.0,1,01/02/2020,1800000
2,Sergiño Dest Lateral derecho,03/11/2000 (22),"1,75m",derecho,17.0,2,07/09/2019,18000000
26,Joe Scally Lateral derecho,31/12/2002 (20),"1,84m",derecho,2.0,-,02/06/2022,8000000
20,Reggie Cannon Lateral derecho,11/06/1998 (25),"1,80m",derecho,26.0,1,17/10/2018,4000000
22,DeAndre Yedlin Lateral derecho,09/07/1993 (29),"1,73m",derecho,74.0,-,01/02/2014,2000000
4,Tyler Adams Pivote,14/02/1999 (24),"1,75m",derecho,19.0,1,14/11/2017,17000000
23,Kellyn Acosta Pivote,24/07/1995 (27),"1,77m",derecho,52.0,2,31/01/2016,3000000
-,Yunus Musah Mediocentro,29/11/2002 (20),"1,78m",derecho,18.0,-,12/11/2020,25000000
8,Weston McKennie Mediocentro,28/08/1998 (24),"1,81m",derecho,34.0,9,14/11/2017,25000000
-,Cristian Roldán Mediocentro,03/06/1995 (28),"1,73m",,32.0,-,13/07/2017,6000000
14,Luca de la Torre Mediocentro,23/05/1998 (25),"1,77m",derecho,10.0,-,02/06/2018,2000000
15,Johnny Mediocentro,20/09/2001 (21),"1,82m",derecho,4.0,-,12/11/2020,1800000
21,Giovanni Reyna Mediocentro ofensivo,13/11/2002 (20),"1,85m",derecho,11.0,4,12/11/2020,35000000
11,Brenden Aaronson Mediocentro ofensivo,22/10/2000 (22),"1,78m",derecho,21.0,6,01/02/2020,30000000
17,Malik Tillman Mediocentro ofensivo,28/05/2002 (21),"1,87m",derecho,2.0,-,02/06/2022,1500000
13,Jordan Morris Extremo izquierdo,26/10/1994 (28),"1,81m",derecho,47.0,10,18/11/2014,5000000
-,Christian Pulisic Extremo derecho,18/09/1998 (24),"1,77m",derecho,50.0,21,30/03/2016,42000000
7,Paul Arriola Extremo derecho,05/02/1995 (28),"1,67m",derecho,46.0,10,22/05/2016,4000000
-,Timothy Weah Delantero centro,22/02/2000 (23),"1,83m",derecho,24.0,3,28/03/2018,12000000
24,Josh Sargent Delantero centro,20/02/2000 (23),"1,85m",derecho,19.0,5,29/05/2018,12000000
19,Ricardo Pepi Delantero centro,09/01/2003 (20),"1,85m",derecho,10.0,3,09/09/2021,9000000
9,Jesús Ferreira Delantero centro,24/12/2000 (22),"1,73m",,12.0,7,01/02/2020,8000000
-,Haji Wright Delantero centro,27/03/1998 (25),"1,93m",derecho,3.0,1,02/06/2022,3400000
