#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
-,Mike Maignan Portero,03/07/1995 (27),"1,91m",derecho,5,-,07/10/2020,35000000
1,Alban Lafont Portero,23/01/1999 (24),"1,96m",derecho,-,-,-,16000000
23,Alphonse Areola Portero,27/02/1993 (30),"1,95m",derecho,5,-,06/09/2018,8000000
-,Hugo Lloris Portero,26/12/1986 (36),"1,88m",izquierdo,139,-,19/11/2008,7000000
16,Steve Mandanda Portero,28/03/1985 (38),"1,87m",derecho,34,-,27/05/2008,1500000
5,Jules Koundé Defensa central,12/11/1998 (24),"1,78m",derecho,12,-,02/06/2021,60000000
-,Lucas Hernández Defensa central,14/02/1996 (27),"1,84m",izquierdo,32,-,23/03/2018,50000000
4,Raphaël Varane Defensa central,25/04/1993 (30),"1,91m",derecho,87,5,22/03/2013,48000000
-,Presnel Kimpembe Defensa central,13/08/1995 (27),"1,83m",izquierdo,28,-,27/03/2018,40000000
-,Ibrahima Konaté Defensa central,25/05/1999 (24),"1,94m",derecho,2,-,10/06/2022,40000000
3,William Saliba Defensa central,24/03/2001 (22),"1,92m",derecho,7,-,25/03/2022,40000000
4,Dayot Upamecano Defensa central,27/10/1998 (24),"1,86m",derecho,7,1,05/09/2020,40000000
18,Benoît Badiashile Defensa central,26/03/2001 (22),"1,94m",izquierdo,2,-,22/09/2022,30000000
-,Theo Hernández Lateral izquierdo,06/10/1997 (25),"1,84m",izquierdo,7,1,07/09/2021,55000000
21,Ferland Mendy Lateral izquierdo,08/06/1995 (28),"1,80m",izquierdo,9,-,20/11/2018,40000000
-,Lucas Digne Lateral izquierdo,20/07/1993 (29),"1,78m",izquierdo,46,-,05/03/2014,25000000
22,Adrien Truffert Lateral izquierdo,20/11/2001 (21),"1,76m",izquierdo,1,-,25/09/2022,12000000
2,Benjamin Pavard Lateral derecho,28/03/1996 (27),"1,86m",derecho,46,2,10/11/2017,30000000
8,Aurélien Tchouameni Pivote,27/01/2000 (23),"1,88m",derecho,14,1,01/09/2021,80000000
-,N'Golo Kanté Pivote,29/03/1991 (32),"1,68m",derecho,53,2,25/03/2016,40000000
-,Boubacar Kamara Pivote,23/11/1999 (23),"1,84m",derecho,3,-,07/06/2022,25000000
6,Eduardo Camavinga Mediocentro,10/11/2002 (20),"1,82m",izquierdo,4,1,08/09/2020,55000000
14,Mattéo Guendouzi Mediocentro,14/04/1999 (24),"1,85m",derecho,6,1,16/11/2021,25000000
19,Youssouf Fofana Mediocentro,10/01/1999 (24),"1,85m",derecho,2,-,22/09/2022,20000000
-,Adrien Rabiot Mediocentro,03/04/1995 (28),"1,88m",izquierdo,29,2,15/11/2016,17000000
17,Jordan Veretout Mediocentro,01/03/1993 (30),"1,77m",derecho,5,-,01/09/2021,17000000
15,Jonathan Clauss Interior derecho,25/09/1992 (30),"1,78m",derecho,6,-,25/03/2022,15000000
-,Moussa Diaby Extremo izquierdo,07/07/1999 (23),"1,70m",izquierdo,8,-,01/09/2021,60000000
-,Kingsley Coman Extremo derecho,13/06/1996 (27),"1,80m",derecho,40,5,13/11/2015,60000000
11,Ousmane Dembélé Extremo derecho,15/05/1997 (26),"1,78m",ambidiestro,28,4,01/09/2016,50000000
12,Christopher Nkunku Mediapunta,14/11/1997 (25),"1,75m",derecho,8,-,25/03/2022,80000000
7,Antoine Griezmann Mediapunta,21/03/1991 (32),"1,76m",izquierdo,110,42,05/03/2014,35000000
10,Kylian Mbappé Delantero centro,20/12/1998 (24),"1,78m",derecho,59,28,25/03/2017,160000000
-,Karim Benzema Delantero centro,19/12/1987 (35),"1,85m",derecho,97,37,28/03/2007,30000000
-,Wissam Ben Yedder Delantero centro,12/08/1990 (32),"1,70m",ambidiestro,19,3,23/03/2018,22000000
20,Randal Kolo Muani Delantero centro,05/12/1998 (24),"1,87m",derecho,2,-,22/09/2022,20000000
9,Olivier Giroud Delantero centro,30/09/1986 (36),"1,92m",izquierdo,114,49,11/11/2011,3500000
