#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
12,Danny Ward Portero,22/06/1993 (30),"1,89m",derecho,26,-,24/03/2016,8000000
-,Adam Davies Portero,17/07/1992 (30),"1,85m",derecho,4,-,20/03/2019,500000
1,Wayne Hennessey Portero,24/01/1987 (36),"1,97m",derecho,105,-,26/05/2007,500000
21,Tom King Portero,09/03/1995 (28),"1,94m",derecho,-,-,-,200000
15,Ethan Ampadu Defensa central,14/09/2000 (22),"1,83m",derecho,37,-,10/11/2017,13000000
4,Ben Cabango Defensa central,30/05/2000 (23),"1,88m",derecho,4,-,03/09/2020,8000000
6,Joe Rodon Defensa central,22/10/1997 (25),"1,93m",derecho,29,-,06/09/2019,8000000
5,Chris Mepham Defensa central,05/11/1997 (25),"1,90m",derecho,33,-,22/03/2018,4000000
-,Oliver Denham Defensa central,04/05/2002 (21),"1,82m",derecho,-,-,-,200000
-,Ben Davies Lateral izquierdo,24/04/1993 (30),"1,81m",izquierdo,74,1,12/10/2012,20000000
17,Rhys Norrington-Davies Lateral izquierdo,22/04/1999 (24),"1,81m",izquierdo,12,1,14/10/2020,3000000
3,Neco Williams Lateral derecho,13/04/2001 (22),"1,77m",derecho,22,2,03/09/2020,15000000
14,Connor Roberts Lateral derecho,23/09/1995 (27),"1,75m",derecho,40,3,26/03/2018,6000000
2,Chris Gunter Lateral derecho,21/07/1989 (33),"1,80m",derecho,109,-,26/05/2007,800000
8,Matt Smith Pivote,22/11/1999 (23),"1,75m",derecho,19,-,29/05/2018,450000
-,Aaron Ramsey Mediocentro,26/12/1990 (32),"1,82m",derecho,75,20,19/11/2008,3000000
-,Jordan James Mediocentro,02/07/2004 (18),-,derecho,-,-,-,2000000
-,Joe Allen Mediocentro,14/03/1990 (33),"1,68m",derecho,72,2,29/05/2009,1000000
7,Dylan Levitt Mediocentro,17/11/2000 (22),"1,80m",derecho,12,-,03/09/2020,700000
16,Joe Morrell Mediocentro,03/01/1997 (26),"1,85m",derecho,29,-,09/09/2019,400000
-,Wes Burns Interior derecho,23/11/1994 (28),"1,73m",derecho,3,-,01/06/2022,800000
-,Rubin Colwill Mediocentro ofensivo,27/04/2002 (21),"1,89m",,6,1,02/06/2021,1500000
18,Jonathan Williams Mediocentro ofensivo,09/10/1993 (29),"1,68m",izquierdo,33,2,22/03/2013,800000
23,Luke Harris Mediocentro ofensivo,03/04/2005 (18),"1,77m",derecho,-,-,-,-
20,Daniel James Extremo derecho,10/11/1997 (25),"1,70m",derecho,37,5,20/11/2018,18000000
-,Harry Wilson Extremo derecho,22/03/1997 (26),"1,73m",izquierdo,39,5,15/10/2013,17000000
22,Sorba Thomas Extremo derecho,25/01/1999 (24),"1,85m",derecho,5,-,08/10/2021,5000000
-,Rabbi Matondo Extremo derecho,09/09/2000 (22),"1,75m",derecho,11,-,20/11/2018,4000000
11,Gareth Bale Extremo derecho,16/07/1989 (33),"1,85m",izquierdo,107,39,27/05/2006,3000000
9,Brennan Johnson Mediapunta,23/05/2001 (22),"1,79m",derecho,14,2,12/11/2020,20000000
13,Kieffer Moore Delantero centro,08/08/1992 (30),"1,95m",derecho,27,9,09/09/2019,5000000
10,Tyler Roberts Delantero centro,12/01/1999 (24),"1,80m",derecho,20,-,06/09/2018,4000000
19,Mark Harris Delantero centro,29/12/1998 (24),"1,82m",derecho,5,-,05/09/2021,1000000
