#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1,Richard Ofori Portero,01/11/1993 (29),"1,90m",derecho,25,-,18/10/2015,800000
12,Abdul Nurudeen Portero,08/02/1999 (24),"1,89m",derecho,2,-,05/01/2022,600000
16,Joe Wollacott Portero,08/09/1996 (26),"1,90m",,10,-,09/10/2021,300000
4,Mohammed Salisu Defensa central,17/04/1999 (24),"1,91m",izquierdo,1,-,23/09/2022,18000000
18,Daniel Amartey Defensa central,21/12/1994 (28),"1,86m",derecho,43,-,19/01/2015,15000000
23,Alexander Djiku Defensa central,09/08/1994 (28),"1,82m",derecho,17,1,09/10/2020,10000000
15,Joseph Aidoo Defensa central,29/09/1995 (27),"1,77m",derecho,10,-,26/03/2019,7000000
26,Alidu Seidu Defensa central,04/06/2000 (23),"1,73m",derecho,2,-,10/06/2022,3000000
-,Stephan Ambrosius Defensa central,18/12/1998 (24),"1,83m",derecho,-,-,-,1000000
14,Gideon Mensah Lateral izquierdo,18/07/1998 (24),"1,78m",izquierdo,11,-,14/11/2019,2500000
17,Abdul-Rahman Baba Lateral izquierdo,02/07/1994 (28),"1,79m",izquierdo,46,1,10/09/2014,1800000
2,Tariq Lamptey Lateral derecho,30/09/2000 (22),"1,63m",derecho,1,-,23/09/2022,18000000
3,Denis Odoi Lateral derecho,27/05/1988 (35),"1,78m",derecho,3,-,25/03/2022,700000
6,Elisha Owusu Pivote,07/11/1997 (25),"1,82m",derecho,2,-,29/03/2022,2500000
21,Iddrisu Baba Mediocentro,22/01/1996 (27),"1,82m",derecho,18,-,14/11/2019,3500000
20,Mohammed Kudus Mediocentro ofensivo,02/08/2000 (22),"1,77m",izquierdo,16,5,14/11/2019,10000000
8,Daniel-Kofi Kyereh Mediocentro ofensivo,08/03/1996 (27),"1,79m",derecho,12,-,03/09/2021,5000000
22,Kamaldeen Sulemana Extremo izquierdo,15/02/2002 (21),"1,75m",derecho,11,-,09/10/2020,18000000
10,André Ayew Extremo izquierdo,17/12/1989 (33),"1,76m",izquierdo,107,23,21/08/2007,2500000
28,Daniel Afriyie Extremo izquierdo,26/06/2001 (22),"1,76m",,1,-,10/06/2022,150000
11,Osman Bukari Extremo derecho,13/12/1998 (24),"1,70m",ambidiestro,6,1,25/03/2021,5000000
-,Ransford-Yeboah Königsdörffer Extremo derecho,13/09/2001 (21),"1,83m",derecho,1,-,27/09/2022,2000000
7,Issahaku Fatawu Extremo derecho,08/03/2004 (19),"1,77m",izquierdo,12,-,09/10/2021,1200000
19,Iñaki Williams Delantero centro,15/06/1994 (29),"1,86m",derecho,1,-,23/09/2022,25000000
9,Jordan Ayew Delantero centro,11/09/1991 (31),"1,82m",derecho,81,19,05/09/2010,6000000
13,Felix Afena-Gyan Delantero centro,19/01/2003 (20),"1,75m",derecho,6,1,25/03/2022,6000000
27,Antoine Semenyo Delantero centro,07/01/2000 (23),"1,85m",ambidiestro,1,-,01/06/2022,3000000
