#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
-,Jordan Pickford Portero,07/03/1994 (29),"1,85m",izquierdo,45,-,10/11/2017,28000000
-,Aaron Ramsdale Portero,14/05/1998 (25),"1,90m",derecho,3,-,15/11/2021,28000000
-,Dean Henderson Portero,12/03/1997 (26),"1,88m",derecho,1,-,12/11/2020,22000000
-,Nick Pope Portero,19/04/1992 (31),"1,98m",derecho,10,-,07/06/2018,18000000
-,Fikayo Tomori Defensa central,19/12/1997 (25),"1,85m",derecho,3,-,17/11/2019,50000000
-,Marc Guéhi Defensa central,13/07/2000 (22),"1,82m",derecho,3,-,26/03/2022,32000000
-,Harry Maguire Defensa central,05/03/1993 (30),"1,94m",derecho,48,7,08/10/2017,30000000
-,John Stones Defensa central,28/05/1994 (29),"1,88m",derecho,59,3,30/05/2014,30000000
-,Eric Dier Defensa central,15/01/1994 (29),"1,88m",derecho,47,3,13/11/2015,28000000
-,Conor Coady Defensa central,25/02/1993 (30),"1,85m",derecho,10,1,08/09/2020,18000000
-,Ben Chilwell Lateral izquierdo,21/12/1996 (26),"1,80m",izquierdo,17,1,11/09/2018,38000000
-,Luke Shaw Lateral izquierdo,12/07/1995 (27),"1,78m",izquierdo,23,3,05/03/2014,30000000
-,Trent Alexander-Arnold Lateral derecho,07/10/1998 (24),"1,80m",derecho,17,1,07/06/2018,80000000
-,Reece James Lateral derecho,08/12/1999 (23),"1,80m",derecho,15,-,08/10/2020,60000000
-,James Justin Lateral derecho,23/02/1998 (25),"1,83m",derecho,1,-,04/06/2022,25000000
-,Kyle Walker Lateral derecho,28/05/1990 (33),"1,83m",derecho,70,-,12/11/2011,18000000
-,Kieran Trippier Lateral derecho,19/09/1990 (32),"1,73m",derecho,37,1,13/06/2017,15000000
-,Declan Rice Pivote,14/01/1999 (24),"1,88m",derecho,34,2,22/03/2019,80000000
-,Kalvin Phillips Pivote,02/12/1995 (27),"1,79m",derecho,23,-,08/09/2020,50000000
-,Phil Foden Mediocentro,28/05/2000 (23),"1,71m",izquierdo,18,2,05/09/2020,90000000
-,Jude Bellingham Mediocentro,29/06/2003 (20),"1,86m",derecho,17,-,12/11/2020,90000000
-,James Ward-Prowse Mediocentro,01/11/1994 (28),"1,77m",derecho,11,2,22/03/2017,32000000
-,Conor Gallagher Mediocentro,06/02/2000 (23),"1,82m",derecho,4,-,15/11/2021,30000000
-,Jordan Henderson Mediocentro,17/06/1990 (33),"1,87m",derecho,70,2,17/11/2010,15000000
-,Bukayo Saka Interior derecho,05/09/2001 (21),"1,78m",izquierdo,20,4,08/10/2020,70000000
-,Mason Mount Mediocentro ofensivo,10/01/1999 (24),"1,80m",derecho,32,5,07/09/2019,75000000
-,Raheem Sterling Extremo izquierdo,08/12/1994 (28),"1,70m",derecho,79,19,14/11/2012,70000000
-,Jack Grealish Extremo izquierdo,10/09/1995 (27),"1,80m",derecho,24,1,08/09/2020,70000000
-,Jarrod Bowen Extremo derecho,20/12/1996 (26),"1,82m",izquierdo,4,-,04/06/2022,42000000
-,Harry Kane Delantero centro,28/07/1993 (29),"1,88m",derecho,75,51,27/03/2015,90000000
-,Tammy Abraham Delantero centro,02/10/1997 (25),"1,94m",derecho,11,3,10/11/2017,50000000
-,Ivan Toney Delantero centro,16/03/1996 (27),"1,85m",derecho,-,-,-,40000000
