#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
22,Amir Abedzadeh Portero,26/04/1993 (30),"1,85m",derecho,11.0,-,19/05/2018,1500000
1,Alireza Beiranvand Portero,21/09/1992 (30),"1,94m",derecho,51.0,-,20/12/2014,1000000
12,Payam Niazmand Portero,06/04/1995 (28),"1,94m",derecho,1.0,-,08/10/2020,500000
30,Hossein Hosseini Portero,30/06/1992 (31),"1,89m",derecho,5.0,-,17/03/2018,450000
19,Majid Hosseini Defensa central,20/06/1996 (27),"1,87m",derecho,18.0,-,19/05/2018,3000000
13,Hossein Kanaani Defensa central,23/03/1994 (29),"1,88m",derecho,34.0,2,11/06/2015,1300000
8,Morteza Pouraliganji Defensa central,19/04/1992 (31),"1,87m",derecho,45.0,2,18/11/2014,700000
4,Shoja Khalilzadeh Defensa central,14/05/1989 (34),"1,83m",derecho,23.0,1,02/05/2012,450000
5,Milad Mohammadi Lateral izquierdo,29/09/1993 (29),"1,78m",izquierdo,45.0,1,11/06/2015,2000000
21,Omid Noorafkan Lateral izquierdo,09/04/1997 (26),"1,82m",izquierdo,14.0,-,17/03/2018,1200000
3,Ehsan Hajsafi Lateral izquierdo,25/02/1990 (33),"1,78m",izquierdo,114.0,6,25/05/2008,800000
25,Abolfazl Jalali Lateral izquierdo,26/06/1998 (25),"1,77m",izquierdo,2.0,-,30/03/2021,250000
2,Sadegh Moharrami Lateral derecho,01/03/1996 (27),"1,74m",derecho,21.0,2,11/09/2018,1500000
-,Saleh Hardani Lateral derecho,14/09/1998 (24),"1,76m",derecho,2.0,-,02/09/2021,700000
24,Milad Sarlak Pivote,26/03/1995 (28),"1,81m",derecho,10.0,-,08/06/2021,900000
6,Saeid Ezatolahi Pivote,01/10/1996 (26),"1,90m",derecho,46.0,1,11/06/2015,400000
15,Omid Ebrahimi Pivote,16/09/1987 (35),"1,78m",derecho,52.0,-,12/12/2012,325000
18,Ahmad Nourollahi Mediocentro,01/02/1993 (30),"1,85m",derecho,25.0,2,15/11/2018,1500000
14,Saman Ghoddos Mediocentro ofensivo,06/09/1993 (29),"1,77m",derecho,33.0,2,05/10/2017,2500000
16,Mehdi Torabi Extremo izquierdo,10/09/1994 (28),"1,85m",derecho,35.0,6,11/06/2015,1000000
11,Vahid Amiri Extremo izquierdo,02/04/1988 (35),"1,81m",izquierdo,66.0,2,-,450000
7,Alireza Jahanbakhsh Extremo derecho,11/08/1993 (29),"1,80m",derecho,64.0,13,15/10/2013,3500000
17,Ali Gholizadeh Extremo derecho,10/03/1996 (27),"1,76m",izquierdo,26.0,6,17/03/2018,3000000
9,Mehdi Taremi Delantero centro,18/07/1992 (30),"1,87m",derecho,60.0,27,11/06/2015,20000000
20,Sardar Azmoun Delantero centro,01/01/1995 (28),"1,86m",ambidiestro,65.0,41,26/05/2014,18000000
10,Karim Ansarifard Delantero centro,03/04/1990 (33),"1,87m",derecho,93.0,29,05/07/2009,1200000
