#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
23.0,Daniel Schmidt Portero,03/02/1992 (30),"1,97m",derecho,11,-,16/11/2018,1200000
30.0,Kosei Tani Portero,22/11/2000 (21),"1,90m",derecho,1,-,27/07/2022,800000
12.0,Shuichi Gonda Portero,03/03/1989 (33),"1,87m",derecho,33,-,06/01/2010,500000
1.0,Eiji Kawashima Portero,20/03/1983 (39),"1,85m",derecho,95,-,17/02/2008,200000
28.0,Hiroki Ito Defensa central,12/05/1999 (23),"1,88m",izquierdo,5,-,02/06/2022,4500000
20.0,Yuta Nakayama Defensa central,16/02/1997 (25),"1,83m",izquierdo,17,-,18/06/2019,1800000
3.0,Shogo Taniguchi Defensa central,15/07/1991 (31),"1,83m",derecho,13,-,11/06/2015,1700000
22.0,Maya Yoshida Defensa central,24/08/1988 (34),"1,89m",derecho,121,12,06/01/2010,1500000
4.0,Ayumu Seko Defensa central,07/06/2000 (22),"1,85m",derecho,-,-,-,1300000
5.0,Yuto Nagatomo Lateral izquierdo,12/09/1986 (36),"1,70m",ambidiestro,137,4,24/05/2008,400000
16.0,Takehiro Tomiyasu Lateral derecho,05/11/1998 (23),"1,88m",derecho,29,1,12/10/2018,22000000
19.0,Hiroki Sakai Lateral derecho,12/04/1990 (32),"1,85m",derecho,71,1,23/05/2012,2500000
2.0,Miki Yamane Lateral derecho,22/12/1993 (28),"1,78m",derecho,14,2,25/03/2021,1300000
6.0,Wataru Endo Pivote,09/02/1993 (29),"1,78m",derecho,43,2,02/08/2015,8000000
13.0,Hidemasa Morita Pivote,10/05/1995 (27),"1,77m",derecho,17,2,11/09/2018,4000000
24.0,Reo Hatate Mediocentro,21/11/1997 (24),"1,72m",derecho,1,-,29/03/2022,2500000
17.0,Ao Tanaka Mediocentro,10/09/1998 (24),"1,80m",derecho,14,2,14/12/2019,1500000
7.0,Gaku Shibasaki Mediocentro,28/05/1992 (30),"1,74m",derecho,59,3,09/09/2014,1000000
15.0,Daichi Kamada Mediocentro ofensivo,05/08/1996 (26),"1,84m",derecho,21,6,22/03/2019,22000000
8.0,Genki Haraguchi Mediocentro ofensivo,09/05/1991 (31),"1,78m",derecho,74,11,07/10/2011,2500000
10.0,Takumi Minamino Extremo izquierdo,16/01/1995 (27),"1,74m",derecho,43,17,13/10/2015,10000000
25.0,Daizen Maeda Extremo izquierdo,20/10/1997 (25),"1,73m",derecho,8,1,18/06/2019,3500000
18.0,Kaoru Mitoma Extremo izquierdo,20/05/1997 (25),"1,78m",derecho,9,5,16/11/2021,3000000
27.0,Yuki Soma Extremo izquierdo,25/02/1997 (25),"1,66m",derecho,7,3,10/12/2019,900000
11.0,Takefusa Kubo Extremo derecho,04/06/2001 (21),"1,73m",izquierdo,19,1,09/06/2019,9000000
14.0,Junya Ito Extremo derecho,09/03/1993 (29),"1,76m",derecho,38,9,09/12/2017,8500000
21.0,Ritsu Doan Extremo derecho,16/06/1998 (24),"1,72m",izquierdo,28,3,11/09/2018,8000000
9.0,Kyogo Furuhashi Delantero centro,20/01/1995 (27),"1,70m",derecho,16,3,19/11/2019,6000000
26.0,Ayase Ueda Delantero centro,28/08/1998 (24),"1,82m",derecho,10,-,18/06/2019,1500000
29.0,Shuto Machino Delantero centro,30/09/1999 (23),"1,85m",ambidiestro,4,3,19/07/2022,700000
