#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1,Bono Portero,05/04/1991 (32),"1,92m",izquierdo,44,-,14/08/2013,18000000
12,Munir Portero,10/05/1989 (34),"1,90m",derecho,43,-,28/03/2015,1500000
22,Ahmed Reda Tagnaouti Portero,05/04/1996 (27),"1,92m",derecho,3,-,10/10/2017,1500000
-,Anas Zniti Portero,28/10/1988 (34),"1,82m",derecho,19,-,08/01/2013,1200000
6,Romain Saïss Defensa central,26/03/1990 (33),"1,88m",izquierdo,63,1,14/11/2012,6500000
20,Achraf Dari Defensa central,06/05/1999 (24),"1,88m",derecho,2,-,07/12/2021,2500000
24,Samy Mmaee Defensa central,08/09/1996 (26),"1,88m",derecho,10,-,09/10/2020,1700000
-,Badr Benoun Defensa central,30/09/1993 (29),"1,93m",derecho,15,5,07/10/2017,1500000
5,Jawad El Yamiq Defensa central,29/02/1992 (31),"1,93m",derecho,11,2,24/03/2017,1200000
26,Yahia Attiat-Allah Lateral izquierdo,02/03/1995 (28),"1,76m",izquierdo,3,-,29/03/2022,1000000
2,Achraf Hakimi Lateral derecho,04/11/1998 (24),"1,81m",derecho,51,8,11/10/2016,65000000
3,Noussair Mazraoui Lateral derecho,14/11/1997 (25),"1,83m",derecho,14,1,08/09/2018,20000000
-,Fahd Moufi Lateral derecho,05/05/1996 (27),"1,77m",derecho,-,-,-,1500000
4,Sofyan Amrabat Pivote,21/08/1996 (26),"1,85m",derecho,36,-,28/03/2017,10000000
25,Yahya Jabrane Pivote,18/06/1991 (32),"1,87m",derecho,16,2,26/03/2021,1700000
8,Azzedine Ounahi Mediocentro,19/04/2000 (23),"1,82m",derecho,7,2,10/01/2022,3000000
7,Hakim Ziyech Mediocentro ofensivo,19/03/1993 (30),"1,81m",izquierdo,40,17,09/10/2015,20000000
13,Ilias Chair Mediocentro ofensivo,30/10/1997 (25),"1,72m",derecho,9,1,08/06/2021,10000000
18,Amine Harit Mediocentro ofensivo,18/06/1997 (26),"1,80m",derecho,14,-,07/10/2017,10000000
15,Selim Amallah Mediocentro ofensivo,15/11/1996 (26),"1,86m",derecho,22,4,15/11/2019,5000000
11,Abdelhamid Sabiri Mediocentro ofensivo,28/11/1996 (26),"1,86m",derecho,2,1,23/09/2022,3000000
10,Younès Belhanda Mediocentro ofensivo,25/02/1990 (33),"1,75m",derecho,50,5,17/11/2010,2000000
16,Ez Abde Extremo izquierdo,17/12/2001 (21),"1,77m",derecho,1,-,23/09/2022,8000000
17,Sofiane Boufal Extremo izquierdo,17/09/1993 (29),"1,75m",derecho,29,4,26/03/2016,8000000
14,Zakaria Aboukhlal Extremo derecho,18/02/2000 (23),"1,79m",ambidiestro,11,2,13/11/2020,3500000
19,Youssef En-Nesyri Delantero centro,01/06/1997 (26),"1,92m",izquierdo,48,14,31/08/2016,20000000
9,Munir El Haddadi Delantero centro,01/09/1995 (27),"1,75m",izquierdo,11,2,26/03/2021,6000000
21,Walid Cheddira Delantero centro,22/01/1998 (25),"1,87m",derecho,2,-,23/09/2022,2500000
23,Ryan Mmaee Delantero centro,01/11/1997 (25),"1,85m",derecho,11,4,31/08/2016,2200000
