#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
23,Mark Flekken Portero,13/06/1993 (30),"1,95m",ambidiestro,4,-,26/03/2022,7000000
13,Jasper Cillessen Portero,22/04/1989 (34),"1,87m",derecho,63,-,07/06/2013,3000000
-,Kjell Scherpen Portero,23/01/2000 (23),"2,04m",derecho,-,-,-,2200000
-,Tim Krul Portero,03/04/1988 (35),"1,93m",izquierdo,15,-,04/06/2011,1000000
21,Andries Noppert Portero,07/04/1994 (29),"2,03m",izquierdo,-,-,-,1000000
1,Remko Pasveer Portero,08/11/1983 (39),"1,87m",derecho,2,-,22/09/2022,250000
3,Matthijs de Ligt Defensa central,12/08/1999 (23),"1,89m",derecho,38,2,25/03/2017,70000000
4,Virgil van Dijk Defensa central,08/07/1991 (31),"1,93m",derecho,49,6,10/10/2015,55000000
2,Jurrien Timber Defensa central,17/06/2001 (22),"1,82m",derecho,10,-,02/06/2021,45000000
5,Nathan Aké Defensa central,18/02/1995 (28),"1,80m",izquierdo,29,3,31/05/2017,25000000
6,Stefan de Vrij Defensa central,05/02/1992 (31),"1,89m",derecho,59,3,15/08/2012,20000000
-,Jordan Teze Defensa central,30/09/1999 (23),"1,83m",derecho,3,-,08/06/2022,9000000
-,Bruno Martins Indi Defensa central,08/02/1992 (31),"1,85m",izquierdo,36,2,15/08/2012,2200000
16,Tyrell Malacia Lateral izquierdo,17/08/1999 (23),"1,69m",izquierdo,6,-,04/09/2021,22000000
17,Daley Blind Lateral izquierdo,09/03/1990 (33),"1,80m",izquierdo,94,2,06/02/2013,7000000
-,Hans Hateboer Lateral derecho,09/01/1994 (29),"1,85m",derecho,13,-,23/03/2018,13000000
12,Devyne Rensch Lateral derecho,18/01/2003 (20),"1,79m",ambidiestro,1,-,07/09/2021,8000000
-,Teun Koopmeiners Pivote,28/02/1998 (25),"1,83m",izquierdo,9,1,07/10/2020,25000000
15,Marten de Roon Pivote,29/03/1991 (32),"1,85m",derecho,28,-,13/11/2016,17000000
-,Jerdy Schouten Pivote,12/01/1997 (26),"1,85m",derecho,1,-,08/06/2022,9000000
-,Frenkie de Jong Mediocentro,12/05/1997 (26),"1,80m",derecho,44,1,06/09/2018,60000000
20,Ryan Gravenberch Mediocentro,16/05/2002 (21),"1,90m",derecho,11,1,24/03/2021,35000000
18,Kenneth Taylor Mediocentro,16/05/2002 (21),"1,82m",ambidiestro,2,-,22/09/2022,12000000
22,Denzel Dumfries Interior derecho,18/04/1996 (27),"1,88m",derecho,37,5,13/10/2018,25000000
11,Steven Berghuis Mediocentro ofensivo,19/12/1991 (31),"1,82m",izquierdo,39,2,27/05/2016,14000000
14,Davy Klaassen Mediocentro ofensivo,21/02/1993 (30),"1,79m",derecho,35,9,05/03/2014,12000000
-,Guus Til Mediocentro ofensivo,22/12/1997 (25),"1,86m",derecho,5,1,26/03/2018,7500000
8,Cody Gakpo Extremo izquierdo,07/05/1999 (24),"1,89m",derecho,9,3,21/06/2021,35000000
7,Steven Bergwijn Extremo izquierdo,08/10/1997 (25),"1,78m",derecho,24,7,13/10/2018,27000000
-,Noa Lang Extremo izquierdo,17/06/1999 (24),"1,73m",derecho,5,1,08/10/2021,19000000
-,Memphis Depay Delantero centro,13/02/1994 (29),"1,76m",derecho,80,42,15/10/2013,25000000
10,Brian Brobbey Delantero centro,01/02/2002 (21),"1,80m",derecho,-,-,-,14000000
19,Wout Weghorst Delantero centro,07/08/1992 (30),"1,97m",derecho,15,3,23/03/2018,14000000
9,Vincent Janssen Delantero centro,15/06/1994 (29),"1,84m",izquierdo,20,7,25/03/2016,4500000
