#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
1,Wojciech Szczesny Portero,18/04/1990 (33),"1,96m",derecho,66,-,18/11/2009,15000000
22,Bartlomiej Dragowski Portero,19/08/1997 (25),"1,91m",derecho,2,-,07/10/2020,6000000
-,Kamil Grabara Portero,08/01/1999 (24),"1,95m",derecho,1,-,01/06/2022,4000000
12,Lukasz Skorupski Portero,05/05/1991 (32),"1,87m",derecho,7,-,14/12/2012,4000000
5,Jan Bednarek Defensa central,12/04/1996 (27),"1,89m",derecho,44,1,04/09/2017,22000000
3,Jakub Kiwior Defensa central,15/02/2000 (23),"1,89m",izquierdo,4,-,11/06/2022,6000000
6,Mateusz Wieteska Defensa central,11/02/1997 (26),"1,87m",derecho,1,-,14/06/2022,2500000
-,Marcin Kaminski Defensa central,15/01/1992 (31),"1,92m",izquierdo,7,-,16/12/2011,1000000
15,Kamil Glik Defensa central,03/02/1988 (35),"1,90m",derecho,98,6,20/01/2010,1000000
-,Tymoteusz Puchacz Lateral izquierdo,23/01/1999 (24),"1,80m",izquierdo,12,-,01/06/2021,1500000
-,Matty Cash Lateral derecho,07/08/1997 (25),"1,85m",derecho,7,1,12/11/2021,25000000
-,Tomasz Kedziora Lateral derecho,11/06/1994 (29),"1,84m",derecho,26,1,13/11/2017,4500000
18,Bartosz Bereszynski Lateral derecho,12/07/1992 (30),"1,83m",derecho,45,-,04/06/2013,4000000
2,Robert Gumny Lateral derecho,04/06/1998 (25),"1,82m",derecho,4,-,11/11/2020,2500000
10,Grzegorz Krychowiak Pivote,29/01/1990 (33),"1,87m",derecho,93,5,14/12/2008,8000000
-,Jacek Goralski Pivote,21/09/1992 (30),"1,72m",derecho,21,1,14/11/2016,1600000
13,Szymon Zurkowski Mediocentro,25/09/1997 (25),"1,85m",derecho,6,-,24/03/2022,7000000
8,Karol Linetty Mediocentro,02/02/1995 (28),"1,76m",derecho,42,5,18/01/2014,3500000
14,Mateusz Klich Mediocentro,13/06/1990 (33),"1,83m",derecho,41,2,05/06/2011,2000000
-,Damian Szymanski Mediocentro,16/06/1995 (28),"1,85m",derecho,8,1,07/09/2018,1800000
-,Mateusz Legowski Mediocentro,29/01/2003 (20),"1,81m",derecho,1,-,22/09/2022,1500000
8,Jakub Piotrowski Mediocentro,04/10/1997 (25),"1,88m",derecho,-,-,-,1300000
17,Przemyslaw Frankowski Interior derecho,12/04/1995 (28),"1,75m",derecho,25,1,23/03/2018,8000000
21,Nicola Zalewski Interior izquierdo,23/01/2002 (21),"1,75m",ambidiestro,7,-,05/09/2021,12000000
-,Kamil Pestka Interior izquierdo,22/08/1998 (24),"1,89m",izquierdo,-,-,-,900000
20,Piotr Zielinski Mediocentro ofensivo,20/05/1994 (29),"1,80m",ambidiestro,74,9,04/06/2013,40000000
19,Sebastian Szymanski Mediocentro ofensivo,10/05/1999 (24),"1,74m",izquierdo,17,1,09/09/2019,14000000
17,Jakub Kaminski Extremo izquierdo,05/06/2002 (21),"1,79m",derecho,3,1,05/09/2021,10000000
-,Przemyslaw Placheta Extremo izquierdo,23/03/1998 (25),"1,78m",izquierdo,7,-,11/11/2020,2000000
11,Kamil Grosicki Extremo izquierdo,08/06/1988 (35),"1,80m",derecho,86,17,02/02/2008,600000
4,Michal Skoras Extremo derecho,15/02/2000 (23),"1,72m",derecho,1,-,22/09/2022,2500000
-,Konrad Michalak Extremo derecho,19/09/1997 (25),"1,76m",derecho,-,-,-,1700000
9,Robert Lewandowski Delantero centro,21/08/1988 (34),"1,85m",derecho,134,76,10/09/2008,45000000
23,Krzysztof Piatek Delantero centro,01/07/1995 (27),"1,83m",derecho,24,10,11/09/2018,12000000
7,Arkadiusz Milik Delantero centro,28/02/1994 (29),"1,86m",izquierdo,63,16,12/10/2012,10000000
-,Adam Buksa Delantero centro,12/07/1996 (26),"1,93m",izquierdo,9,5,02/09/2021,9000000
16,Karol Swiderski Delantero centro,23/01/1997 (26),"1,84m",izquierdo,17,8,28/03/2021,5000000
