#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
22,Diogo Costa Portero,19/09/1999 (23),"1,86m",derecho,7,-,09/10/2021,25000000
12,José Sá Portero,17/01/1993 (30),"1,92m",derecho,-,-,-,18000000
-,Rui Silva Portero,07/02/1994 (29),"1,91m",izquierdo,1,-,09/06/2021,15000000
1,Rui Patrício Portero,15/02/1988 (35),"1,90m",izquierdo,105,-,17/11/2010,6000000
4,Rúben Dias Defensa central,14/05/1997 (26),"1,87m",derecho,39,2,28/05/2018,75000000
-,David Carmo Defensa central,19/07/1999 (23),"1,96m",izquierdo,-,-,-,20000000
3,Tiago Djaló Defensa central,09/04/2000 (23),"1,90m",derecho,-,-,-,12000000
-,Domingos Duarte Defensa central,10/03/1995 (28),"1,92m",derecho,3,-,11/11/2020,8000000
-,Pepe Defensa central,26/02/1983 (40),"1,87m",derecho,127,7,21/11/2007,1000000
5,Nuno Mendes Lateral izquierdo,19/06/2002 (21),"1,83m",izquierdo,16,-,24/03/2021,50000000
-,Raphaël Guerreiro Lateral izquierdo,22/12/1993 (29),"1,70m",izquierdo,56,3,14/11/2014,20000000
19,Mário Rui Lateral izquierdo,27/05/1991 (32),"1,68m",izquierdo,12,-,26/03/2018,8000000
20,João Cancelo Lateral derecho,27/05/1994 (29),"1,82m",derecho,37,7,01/09/2016,65000000
2,Diogo Dalot Lateral derecho,18/03/1999 (24),"1,83m",derecho,6,2,23/06/2021,28000000
18,Rúben Neves Pivote,13/03/1997 (26),"1,80m",derecho,32,-,14/11/2015,40000000
6,João Palhinha Pivote,09/07/1995 (27),"1,90m",derecho,15,2,24/03/2021,25000000
14,William Carvalho Pivote,07/04/1992 (31),"1,87m",derecho,75,5,19/11/2013,16000000
13,Danilo Pereira Pivote,09/09/1991 (31),"1,88m",derecho,63,2,31/03/2015,14000000
11,Matheus Nunes Mediocentro,27/08/1998 (24),"1,83m",derecho,9,1,09/10/2021,45000000
16,Vitinha Mediocentro,13/02/2000 (23),"1,72m",derecho,4,-,29/03/2022,40000000
17,João Mário Mediocentro,19/01/1993 (30),"1,79m",derecho,52,2,11/10/2014,10000000
-,João Moutinho Mediocentro,08/09/1986 (36),"1,70m",derecho,145,7,17/08/2005,2500000
-,Otávio Interior derecho,09/02/1995 (28),"1,72m",derecho,7,2,04/09/2021,30000000
8,Bruno Fernandes Mediocentro ofensivo,08/09/1994 (28),"1,79m",derecho,48,9,10/11/2017,85000000
10,Bernardo Silva Mediocentro ofensivo,10/08/1994 (28),"1,73m",izquierdo,72,8,31/03/2015,80000000
15,Rafael Leão Extremo izquierdo,10/06/1999 (24),"1,88m",derecho,11,-,09/10/2021,70000000
21,Diogo Jota Extremo izquierdo,04/12/1996 (26),"1,78m",derecho,28,10,14/11/2019,60000000
-,Pedro Neto Extremo izquierdo,09/03/2000 (23),"1,72m",izquierdo,3,1,11/11/2020,38000000
-,Gonçalo Guedes Extremo izquierdo,29/11/1996 (26),"1,79m",derecho,31,7,14/11/2015,35000000
9,Ricardo Horta Extremo izquierdo,15/09/1994 (28),"1,73m",derecho,5,1,07/09/2014,20000000
23,João Félix Mediapunta,10/11/1999 (23),"1,81m",ambidiestro,23,3,05/06/2019,70000000
-,André Silva Delantero centro,06/11/1995 (27),"1,85m",derecho,51,19,01/09/2016,27000000
-,Gonçalo Ramos Delantero centro,20/06/2001 (22),"1,85m",derecho,-,-,-,20000000
7,Cristiano Ronaldo Delantero centro,05/02/1985 (38),"1,87m",derecho,191,117,20/08/2003,20000000
