#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
22,Meshaal Barsham Portero,14/02/1998 (25),"1,80m",derecho,14,-,17/11/2020,450000
31,Salah Zakaria Portero,24/04/1999 (24),"1,85m",,-,-,-,300000
1,Saad Al-Sheeb Portero,19/02/1990 (33),"1,84m",derecho,80,-,-,200000
-,Yousef Hassan Portero,24/05/1996 (27),-,,9,-,07/09/2018,150000
5,Tarek Salman Defensa central,05/12/1997 (25),"1,79m",derecho,54,-,23/08/2017,550000
2,Pedro Miguel Defensa central,06/08/1990 (32),"1,82m",derecho,78,1,29/03/2016,500000
15,Bassam Al-Rawi Defensa central,16/12/1997 (25),"1,75m",derecho,51,2,11/11/2017,500000
16,Boualem Khoukhi Defensa central,09/07/1990 (32),"1,80m",derecho,99,21,25/12/2014,500000
-,Ahmed Suhail Defensa central,08/02/1999 (24),"1,83m",derecho,2,-,30/03/2021,275000
-,Mohamed Emad Aiash Defensa central,27/02/2001 (22),-,derecho,-,-,-,100000
3,Abdelkarim Hassan Lateral izquierdo,28/08/1993 (29),"1,86m",izquierdo,120,15,-,775000
14,Homam Ahmed Lateral izquierdo,25/08/1999 (23),"1,86m",izquierdo,25,2,14/11/2019,500000
13,Musab Khoder Lateral derecho,01/01/1993 (30),"1,74m",derecho,29,-,29/03/2016,325000
12,Karim Boudiaf Pivote,16/09/1990 (32),"1,87m",derecho,108,5,27/12/2014,450000
20,Ahmed Fadel Pivote,07/04/1993 (30),-,,-,-,-,175000
32,Jassem Gaber Abdulsallam Pivote,20/02/2002 (21),"1,83m",derecho,-,-,-,175000
6,Abdulaziz Hatem Mediocentro,28/10/1990 (32),"1,83m",izquierdo,96,11,30/12/2009,500000
4,Mohammed Waad Mediocentro,18/09/1999 (23),"1,83m",izquierdo,18,-,13/11/2020,300000
-,Osama Al-Tairi Mediocentro,16/06/2002 (21),-,derecho,-,-,-,75000
23,Mustafa Mashaal Mediocentro,28/03/2001 (22),-,derecho,-,-,-,50000
8,Ali Asad Mediocentro ofensivo,19/01/1993 (30),"1,75m",derecho,56,12,27/12/2014,250000
11,Akram Afif Extremo izquierdo,18/11/1996 (26),"1,77m",derecho,83,24,03/09/2015,5500000
25,Abdelrahman Moustafa Extremo izquierdo,05/04/1997 (26),"1,68m",derecho,1,-,07/09/2018,375000
18,Khalid Muneer Mazeed Extremo izquierdo,24/02/1998 (25),"1,74m",,2,-,06/12/2021,350000
-,Yusuf Abdurisag Extremo izquierdo,06/08/1999 (23),"1,77m",derecho,11,1,05/09/2019,250000
10,Hasan Al-Haydos Extremo derecho,11/12/1990 (32),"1,74m",derecho,160,34,11/08/2008,1300000
17,Ismaeel Mohammed Extremo derecho,05/04/1990 (33),"1,68m",derecho,66,4,27/12/2014,250000
21,Naif Al-Hadhrami Extremo derecho,18/07/2001 (21),-,,1,-,29/03/2022,200000
19,Almoez Ali Delantero centro,19/08/1996 (26),"1,80m",derecho,82,39,25/08/2016,2800000
7,Ahmed Alaaeldin Delantero centro,31/01/1993 (30),"1,77m",derecho,45,1,29/05/2016,700000
9,Mohammed Muntari Delantero centro,20/12/1993 (29),"1,94m",derecho,41,11,27/12/2014,350000
