#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
23.0,Alfred Gomis Portero,05/09/1993 (29),"1,96m",derecho,13,-,14/11/2017,5000000
1.0,Seny Dieng Portero,23/11/1994 (28),"1,93m",derecho,3,-,30/03/2021,1500000
28.0,Mory Diaw Portero,22/06/1993 (30),"1,95m",derecho,-,-,-,1000000
3.0,Kalidou Koulibaly Defensa central,20/06/1991 (32),"1,86m",derecho,62,-,05/09/2015,35000000
19.0,Moussa Niakhaté Defensa central,08/03/1996 (27),"1,90m",izquierdo,-,-,-,18000000
22.0,Abdou Diallo Defensa central,04/05/1996 (27),"1,87m",izquierdo,17,2,26/03/2021,18000000
4.0,Pape Abou Cissé Defensa central,14/09/1995 (27),"1,98m",derecho,12,1,13/10/2018,8000000
2.0,Formose Mendy Defensa central,02/01/2001 (22),"1,91m",derecho,2,-,24/09/2022,2000000
13.0,Ismail Jakobs Lateral izquierdo,17/08/1999 (23),"1,84m",izquierdo,2,-,24/09/2022,7000000
12.0,Fodé Ballo-Touré Lateral izquierdo,03/01/1997 (26),"1,82m",izquierdo,13,-,26/03/2021,3500000
26.0,Pape Gueye Pivote,24/01/1999 (24),"1,89m",izquierdo,11,-,14/11/2021,12000000
6.0,Nampalys Mendy Pivote,23/06/1992 (31),"1,67m",derecho,17,-,26/03/2021,4000000
8.0,Cheikhou Kouyaté Pivote,21/12/1989 (33),"1,89m",derecho,82,4,29/02/2012,4000000
25.0,Mamadou Loum Pivote,30/12/1996 (26),"1,88m",derecho,3,-,26/03/2019,3500000
24.0,Moustapha Name Pivote,05/05/1995 (28),"1,85m",ambidiestro,5,-,11/11/2020,2000000
17.0,Pape Matar Sarr Mediocentro,14/09/2002 (20),"1,84m",derecho,8,-,26/03/2021,15000000
5.0,Idrissa Gueye Mediocentro,26/09/1989 (33),"1,74m",derecho,94,7,11/11/2011,10000000
11.0,Pathé Ciss Mediocentro,16/03/1994 (29),"1,86m",derecho,1,-,24/09/2022,4000000
21.0,Iliman Ndiaye Mediocentro ofensivo,06/03/2000 (23),"1,80m",,2,-,04/06/2022,3500000
10.0,Sadio Mané Extremo izquierdo,10/04/1992 (31),"1,74m",derecho,91,33,25/05/2012,60000000
18.0,Ismaïla Sarr Extremo derecho,25/02/1998 (25),"1,85m",derecho,47,10,15/01/2017,22000000
15.0,Krépin Diatta Extremo derecho,25/02/1999 (24),"1,75m",derecho,24,2,23/03/2019,13000000
27.0,Nicolas Jackson Extremo derecho,20/06/2001 (22),"1,86m",derecho,-,-,-,10000000
29.0,Demba Seck Extremo derecho,10/02/2001 (22),"1,90m",izquierdo,1,-,24/09/2022,3000000
9.0,Boulaye Dia Delantero centro,16/11/1996 (26),"1,80m",derecho,17,2,09/10/2020,12000000
20.0,Bamba Dieng Delantero centro,23/03/2000 (23),"1,78m",derecho,11,1,09/10/2021,10000000
