#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
-,Predrag Rajković Portero,31/10/1995 (27),"1,92m",derecho,28.0,-,14/08/2013,9000000
1,Marko Dmitrović Portero,24/01/1992 (31),"1,94m",izquierdo,19.0,-,14/11/2017,5000000
23,Vanja Milinković-Savić Portero,20/02/1997 (26),"2,02m",derecho,6.0,-,11/11/2021,2500000
12,Marko Ilić Portero,03/02/1998 (25),"1,91m",derecho,1.0,-,07/06/2021,1500000
-,Nikola Milenković Defensa central,12/10/1997 (25),"1,95m",derecho,37.0,3,04/06/2018,20000000
2,Strahinja Pavlovic Defensa central,24/05/2001 (22),"1,94m",izquierdo,21.0,1,03/09/2020,8000000
5,Milos Veljkovic Defensa central,26/09/1995 (27),"1,88m",derecho,21.0,-,10/11/2017,5000000
5,Strahinja Erakovic Defensa central,22/01/2001 (22),"1,86m",derecho,1.0,-,02/06/2022,5000000
6,Erhan Masovic Defensa central,22/11/1998 (24),"1,89m",ambidiestro,2.0,-,05/06/2022,3500000
6,Srdjan Babic Defensa central,22/04/1996 (27),"1,94m",izquierdo,2.0,-,24/09/2022,3000000
13,Stefan Mitrović Defensa central,22/05/1990 (33),"1,89m",ambidiestro,33.0,-,01/06/2014,1800000
-,Mihailo Ristić Lateral izquierdo,31/10/1995 (27),"1,80m",izquierdo,7.0,-,29/09/2016,3500000
14,Aleksa Terzić Lateral izquierdo,17/08/1999 (23),"1,84m",izquierdo,5.0,-,07/06/2021,1500000
3,Filip Mladenovic Lateral izquierdo,15/08/1991 (31),"1,80m",izquierdo,19.0,1,31/05/2012,1200000
6,Nemanja Maksimović Pivote,26/01/1995 (28),"1,84m",derecho,39.0,-,23/03/2016,12000000
8,Uroš Račić Pivote,17/03/1998 (25),"1,93m",ambidiestro,9.0,-,24/03/2021,7000000
8,Nemanja Gudelj Pivote,16/11/1991 (31),"1,87m",derecho,48.0,1,05/03/2014,4000000
20,Sergej Milinković-Savić Mediocentro,27/02/1995 (28),"1,91m",derecho,35.0,6,10/11/2017,60000000
16,Saša Lukić Mediocentro,13/08/1996 (26),"1,83m",derecho,32.0,2,07/09/2018,15000000
19,Ivan Ilic Mediocentro,17/03/2001 (22),"1,85m",izquierdo,5.0,-,07/06/2021,14000000
-,Marko Grujic Mediocentro,13/04/1996 (27),"1,91m",derecho,17.0,-,25/05/2016,12000000
17,Filip Kostic Interior izquierdo,01/11/1992 (30),"1,84m",izquierdo,50.0,3,07/06/2015,24000000
22,Darko Lazović Interior izquierdo,15/09/1990 (32),"1,81m",derecho,26.0,-,14/12/2008,4000000
21,Filip Djuricic Mediocentro ofensivo,30/01/1992 (31),"1,81m",derecho,36.0,4,29/02/2012,4000000
10,Dusan Tadić Extremo izquierdo,20/11/1988 (34),"1,81m",izquierdo,90.0,18,14/12/2008,8500000
7,Nemanja Radonjić Extremo izquierdo,15/02/1996 (27),"1,85m",ambidiestro,36.0,5,14/11/2017,4000000
15,Stefan Mitrovic Extremo izquierdo,15/08/2002 (20),"1,81m",derecho,1.0,-,24/09/2022,1500000
14,Andrija Zivkovic Extremo derecho,11/07/1996 (26),"1,69m",izquierdo,28.0,1,11/10/2013,6000000
18,Dušan Vlahović Delantero centro,28/01/2000 (23),"1,90m",izquierdo,16.0,8,11/10/2020,85000000
9,Aleksandar Mitrović Delantero centro,16/09/1994 (28),"1,89m",derecho,75.0,50,07/06/2013,25000000
11,Luka Jović Delantero centro,23/12/1997 (25),"1,82m",ambidiestro,28.0,9,04/06/2018,16000000
-,Djordje Jovanovic Delantero centro,15/02/1999 (24),"1,87m",derecho,1.0,-,05/06/2022,2500000
