#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
-,Gregor Kobel Portero,06/12/1997 (25),"1,94m",derecho,3,-,01/09/2021,22000000
-,Jonas Omlin Portero,10/01/1994 (29),"1,82m",derecho,4,-,07/10/2020,8000000
1,Yann Sommer Portero,17/12/1988 (34),"1,83m",derecho,76,-,30/05/2012,5000000
21,Yvon Mvogo Portero,06/06/1994 (29),"1,89m",derecho,4,-,15/10/2018,2800000
12,David von Ballmoos Portero,30/12/1994 (28),"1,92m",derecho,-,-,-,2500000
-,Manuel Akanji Defensa central,19/07/1995 (27),"1,88m",derecho,42,1,09/06/2017,30000000
4,Nico Elvedi Defensa central,30/09/1996 (26),"1,89m",derecho,40,1,28/05/2016,18000000
22,Fabian Schär Defensa central,20/12/1991 (31),"1,86m",derecho,72,8,14/08/2013,9000000
-,Leonidas Stergiou Defensa central,03/03/2002 (21),"1,81m",derecho,1,-,12/06/2022,6000000
13,Ricardo Rodríguez Defensa central,25/08/1992 (30),"1,80m",izquierdo,100,9,07/10/2011,3400000
18,Eray Cömert Defensa central,04/02/1998 (25),"1,83m",derecho,9,-,18/11/2019,2000000
2,Kevin Mbabu Lateral derecho,19/04/1995 (28),"1,84m",derecho,22,-,08/09/2018,9000000
-,Jordan Lotomba Lateral derecho,29/09/1998 (24),"1,77m",derecho,7,1,07/10/2020,7000000
3,Silvan Widmer Lateral derecho,05/03/1993 (30),"1,83m",derecho,33,2,14/10/2014,5000000
6,Denis Zakaria Pivote,20/11/1996 (26),"1,91m",derecho,42,3,28/05/2016,27000000
19,Ardon Jashari Pivote,30/07/2002 (20),"1,81m",izquierdo,1,-,27/09/2022,1000000
20,Fabian Frei Pivote,08/01/1989 (34),"1,83m",derecho,22,3,07/10/2011,500000
10,Granit Xhaka Mediocentro,27/09/1992 (30),"1,86m",izquierdo,106,12,04/06/2011,25000000
15,Djibril Sow Mediocentro,06/02/1997 (26),"1,84m",derecho,32,-,08/09/2018,22000000
8,Remo Freuler Mediocentro,15/04/1992 (31),"1,80m",derecho,48,5,01/06/2017,13000000
-,Michel Aebischer Mediocentro,06/01/1997 (26),"1,83m",derecho,11,-,18/11/2019,3500000
-,Mattia Bottani Mediocentro ofensivo,24/05/1991 (32),"1,70m",derecho,1,-,05/06/2022,500000
17,Rubén Vargas Extremo izquierdo,05/08/1998 (24),"1,79m",derecho,26,4,08/09/2019,6000000
-,Steven Zuber Extremo izquierdo,17/08/1991 (31),"1,82m",derecho,51,10,25/03/2017,2500000
23,Xherdan Shaqiri Extremo derecho,10/10/1991 (31),"1,69m",izquierdo,108,26,03/03/2010,5000000
16,Dan Ndoye Extremo derecho,25/10/2000 (22),"1,84m",derecho,1,-,24/09/2022,4000000
11,Renato Steffen Extremo derecho,03/11/1991 (31),"1,70m",izquierdo,27,1,09/10/2015,2000000
-,Noah Okafor Delantero centro,24/05/2000 (23),"1,85m",derecho,8,2,09/06/2019,18000000
7,Breel Embolo Delantero centro,14/02/1997 (26),"1,87m",derecho,58,10,31/03/2015,18000000
9,Haris Seferovic Delantero centro,22/02/1992 (31),"1,89m",izquierdo,88,25,06/02/2013,6000000
5,Cedric Itten Delantero centro,27/12/1996 (26),"1,89m",derecho,7,4,15/11/2019,2000000
14,Zeki Amdouni Delantero centro,04/12/2000 (22),"1,85m",,1,-,27/09/2022,2000000
-,Mario Gavranovic Delantero centro,24/11/1989 (33),"1,75m",derecho,41,16,26/03/2011,1200000
