#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
-,Bechir Ben Said Portero,29/11/1994 (28),"1,94m",,10,-,12/01/2022,850000
16,Aymen Dahmen Portero,28/01/1997 (26),"1,88m",derecho,4,-,28/03/2021,850000
1,Mohamed Sedki Debchi Portero,28/10/1999 (23),"1,95m",derecho,-,-,-,500000
-,Dylan Bronn Defensa central,19/06/1995 (28),"1,86m",derecho,36,2,28/03/2017,4000000
3,Montassar Talbi Defensa central,26/05/1998 (25),"1,90m",derecho,22,1,28/03/2021,2500000
-,Omar Rekik Defensa central,20/12/2001 (21),"1,86m",derecho,3,-,15/06/2021,800000
6,Nader Ghandri Defensa central,18/02/1995 (28),"1,96m",derecho,7,-,07/06/2019,650000
2,Bilel Ifa Defensa central,09/03/1990 (33),"1,85m",derecho,39,-,19/11/2008,250000
12,Ali Maâloul Lateral izquierdo,01/01/1990 (33),"1,75m",izquierdo,82,2,06/07/2013,1500000
-,Mortadha Ben Ouanes Lateral izquierdo,02/07/1994 (28),"1,82m",izquierdo,5,-,21/09/2019,1400000
21,Rami Kaib Lateral izquierdo,08/05/1997 (26),"1,78m",,2,-,10/06/2022,700000
-,Yan Valery Lateral derecho,22/02/1999 (24),"1,80m",derecho,1,-,27/09/2022,2500000
20,Mohamed Dräger Lateral derecho,25/06/1996 (27),"1,81m",derecho,33,3,20/11/2018,1300000
-,Hamza Mathlouthi Lateral derecho,25/07/1992 (30),"1,84m",derecho,37,1,05/03/2014,600000
-,Ellyes Skhiri Pivote,10/05/1995 (28),"1,85m",derecho,48,3,23/03/2018,13000000
8,Anis Slimane Mediocentro,16/03/2001 (22),"1,88m",ambidiestro,24,4,09/10/2020,3500000
14,Aïssa Laïdouni Mediocentro,13/12/1996 (26),"1,83m",derecho,24,1,25/03/2021,3500000
13,Ferjani Sassi Mediocentro,18/03/1992 (31),"1,85m",derecho,76,6,08/06/2013,2000000
-,Ghaylen Chaaleli Mediocentro,28/02/1994 (29),"1,79m",derecho,30,1,11/06/2017,1000000
-,Chaïm El Djebali Mediocentro,07/02/2004 (19),-,derecho,1,-,22/09/2022,-
10,Hannibal Mejbri Mediocentro ofensivo,21/01/2003 (20),"1,84m",derecho,18,-,05/06/2021,6000000
-,Saîf-Eddine Khaoui Mediocentro ofensivo,27/04/1995 (28),"1,80m",izquierdo,28,4,23/03/2018,1500000
23,Naïm Sliti Extremo izquierdo,27/07/1992 (30),"1,73m",derecho,68,13,03/06/2016,7500000
7,Youssef Msakni Extremo izquierdo,28/10/1990 (32),"1,79m",derecho,86,17,09/01/2010,1200000
-,Sayfallah Ltaief Extremo derecho,22/04/2000 (23),"1,80m",derecho,1,-,22/09/2022,350000
17,Issam Jebali Mediapunta,25/12/1991 (31),"1,86m",ambidiestro,9,2,09/09/2018,500000
-,Wahbi Khazri Delantero centro,08/02/1991 (32),"1,76m",derecho,71,24,07/01/2013,4000000
19,Seifeddine Jaziri Delantero centro,12/02/1993 (30),"1,80m",derecho,29,10,18/01/2016,1500000
-,Taha Yassine Khenissi Delantero centro,06/01/1992 (31),"1,80m",derecho,48,9,23/03/2013,500000
