#,Jugadores,Nacido / edad,Altura,Pie,Partidos con la selección,Goles,Debut,Valor mercado en €
23.0,Sergio Rochet Portero,23/03/1993 (30),"1,90m",derecho,8,-,28/01/2022,3000000
1.0,Fernando Muslera Portero,16/06/1986 (37),"1,90m",derecho,133,-,11/10/2009,1700000
12.0,Sebastián Sosa Portero,19/08/1986 (36),"1,81m",derecho,1,-,11/06/2022,800000
4.0,Ronald Araújo Defensa central,07/03/1999 (24),"1,88m",derecho,12,-,13/10/2020,60000000
2.0,Agustín Rogel Defensa central,17/10/1997 (25),"1,91m",derecho,1,-,23/09/2022,4500000
3.0,Sebastián Cáceres Defensa central,18/08/1999 (23),"1,80m",derecho,2,-,23/09/2022,4000000
26.0,Leandro Cabrera Defensa central,17/06/1991 (32),"1,90m",izquierdo,-,-,-,4000000
22.0,Martín Cáceres Defensa central,07/04/1987 (36),"1,80m",derecho,115,4,12/09/2007,900000
16.0,Mathías Olivera Lateral izquierdo,31/10/1997 (25),"1,85m",izquierdo,8,-,28/01/2022,15000000
17.0,Matías Viña Lateral izquierdo,09/11/1997 (25),"1,80m",izquierdo,26,-,07/09/2019,7500000
21.0,Guillermo Varela Lateral derecho,24/03/1993 (30),"1,73m",derecho,9,-,10/11/2017,2500000
13.0,Damián Suárez Lateral derecho,27/04/1988 (35),"1,73m",derecho,7,-,28/01/2022,1500000
14.0,Lucas Torreira Pivote,11/02/1996 (27),"1,66m",derecho,40,-,23/03/2018,15000000
25.0,Manuel Ugarte Pivote,11/04/2001 (22),"1,82m",derecho,6,-,06/09/2021,15000000
15.0,Federico Valverde Mediocentro,22/07/1998 (24),"1,82m",derecho,44,4,06/09/2017,80000000
6.0,Rodrigo Bentancur Mediocentro,25/06/1997 (26),"1,87m",derecho,51,1,05/10/2017,35000000
7.0,Nicolás de la Cruz Mediocentro,01/06/1997 (26),"1,67m",derecho,17,1,09/10/2020,13000000
5.0,Matías Vecino Mediocentro,24/08/1991 (31),"1,87m",derecho,62,4,26/03/2016,3500000
10.0,Giorgian de Arrascaeta Mediocentro ofensivo,01/06/1994 (29),"1,74m",derecho,40,8,08/09/2014,18000000
20.0,Diego Rossi Extremo izquierdo,05/03/1998 (25),"1,70m",derecho,4,1,30/03/2022,14000000
18.0,Agustín Canobbio Extremo derecho,01/10/1998 (24),"1,75m",derecho,3,-,28/01/2022,4000000
8.0,Facundo Pellistri Extremo derecho,20/12/2001 (21),"1,74m",derecho,7,-,28/01/2022,2500000
24.0,Brian Ocampo Extremo derecho,25/06/1999 (24),"1,72m",derecho,1,-,19/06/2021,2000000
11.0,Darwin Núñez Delantero centro,24/06/1999 (24),"1,87m",derecho,13,2,16/10/2019,70000000
9.0,Luis Suárez Delantero centro,24/01/1987 (36),"1,82m",derecho,134,68,07/02/2007,8000000
19.0,Martín Satriano Delantero centro,20/02/2001 (22),"1,87m",derecho,1,-,27/09/2022,7000000
