#,País,Jugadores en la plantilla,Confederación,Puntos
1,Brasil,26,CONMEBOL,1841
2,Bélgica,29,UEFA,1817
3,Argentina,26,CONMEBOL,1774
4,Francia,23,UEFA,1760
5,Inglaterra,29,UEFA,1728
6,Italia,29,UEFA,1726
7,España,25,UEFA,1715
8,Países Bajos,23,UEFA,1695
9,Portugal,23,UEFA,1677
10,Dinamarca,26,UEFA,1667
11,Alemania,23,UEFA,1650
12,Croacia,25,UEFA,1646
13,México,32,CONCACAF,1645
14,Uruguay,26,CONMEBOL,1639
15,Suiza,23,UEFA,1636
16,Estados Unidos,25,CONCACAF,1627
17,Colombia,26,CONMEBOL,1611
18,Senegal,26,CAF,1584
19,Gales,27,UEFA,1570
20,Irán,31,AFC,1565
21,Serbia,27,UEFA,1564
22,Marruecos,27,CAF,1564
23,Perú,27,CONMEBOL,1561
24,Japón,30,AFC,1560
25,Suecia,24,UEFA,1553
26,Polonia,26,UEFA,1549
27,Ucrania,24,UEFA,1537
28,Corea del Sur,26,AFC,1530
29,Chile,26,CONMEBOL,1510
30,Túnez,30,CAF,1508
31,Costa Rica,25,CONCACAF,1504
32,Nigeria,27,CAF,1498
33,Rusia,28,UEFA,1496
34,Austria,24,UEFA,1493
35,República Checa,24,UEFA,1492
36,Hungría,23,UEFA,1492
37,Argelia,25,CAF,1489
38,Australia,31,AFC,1489
39,Egipto,27,CAF,1486
40,Escocia,32,UEFA,1480
41,Canadá,25,CONCACAF,1475
42,Noruega,25,UEFA,1473
43,Camerún,26,CAF,1471
44,Ecuador,28,CONMEBOL,1464
45,Turquía,23,UEFA,1460
46,Malí,25,CAF,1449
47,Paraguay,25,CONMEBOL,1449
48,Costa de Marfil,34,CAF,1443
49,Irlanda,24,UEFA,1440
50,Catar,26,AFC,1440
51,Arabia Saudita,25,AFC,1438
52,Grecia,27,UEFA,1438
53,Rumanía,27,UEFA,1435
54,Burkina Faso,37,CAF,1432
55,Eslovaquia,27,UEFA,1426
56,Finlandia,26,UEFA,1406
57,Venezuela,27,CONMEBOL,1404
58,Bosnia,27,UEFA,1404
59,Irlanda Norte,28,UEFA,1397
60,Panamá,17,CONCACAF,1393
61,Ghana,28,CAF,1393
62,Islandia,23,UEFA,1384
63,Eslovenia,23,UEFA,1384
64,Jamaica,22,CONCACAF,1379
65,Macedonia d. N.,21,UEFA,1359
66,Albania,23,UEFA,1354
67,Sudáfrica,26,CAF,1350
68,Irak,46,AFC,1343
69,Montenegro,28,UEFA,1341
70,E. Á. U.,24,AFC,1338
71,Cabo Verde,36,CAF,1336
72,Bulgaria,23,UEFA,1335
73,RD Congo,28,CAF,1334
74,El Salvador,30,CONCACAF,1331
75,Omán,23,AFC,1320
51,Arabia Saudita,25,AFC,1438
52,Grecia,27,UEFA,1438
53,Rumanía,27,UEFA,1435
54,Burkina Faso,37,CAF,1432
55,Eslovaquia,27,UEFA,1426
